Trade Date,Feb17
2016-05-23,18.0
2016-05-24,21.3
2016-05-25,21.5
2016-05-26,19.9
2016-05-27,20.15
2016-05-31,21.05
2016-06-01,21.4
2016-06-02,20.95
2016-06-03,20.8
2016-06-06,20.65
2016-06-07,20.65
2016-06-08,20.88
2016-06-09,21.1
2016-06-10,21.73
2016-06-13,22.59
2016-06-14,22.96
2016-06-15,22.55
2016-06-16,22.85
2016-06-17,22.0
2016-06-20,21.55
2016-06-21,21.35
2016-06-22,21.31
2016-06-23,21.1
2016-06-24,23.8
2016-06-27,23.0
2016-06-28,23.0
2016-06-29,21.65
2016-06-30,21.31
2016-07-01,21.37
2016-07-05,21.6
2016-07-06,21.45
2016-07-07,21.45
2016-07-08,21.2
2016-07-11,20.65
2016-07-12,20.6
2016-07-13,20.45
2016-07-14,20.25
2016-07-15,20.4
2016-07-18,20.36
2016-07-19,20.36
2016-07-20,20.25
2016-07-21,20.5
2016-07-22,20.45
2016-07-25,20.45
2016-07-26,20.48
2016-07-27,20.43
2016-07-28,20.3
2016-07-29,20.01
2016-08-01,19.75
2016-08-02,20.11
2016-08-03,20.05
2016-08-04,19.85
2016-08-05,19.71
2016-08-08,19.45
2016-08-09,19.3
2016-08-10,19.4
2016-08-11,19.35
2016-08-12,19.45
2016-08-15,19.4
2016-08-16,19.65
2016-08-17,19.88
2016-08-18,19.65
2016-08-19,19.75
2016-08-22,19.75
2016-08-23,19.75
2016-08-24,19.87
2016-08-25,19.9
2016-08-26,19.98
2016-08-29,19.85
2016-08-30,19.78
2016-08-31,19.86
2016-09-01,19.88
2016-09-02,19.8
2016-09-06,19.6
2016-09-07,19.41
2016-09-08,19.47
2016-09-09,20.5
2016-09-12,20.69
2016-09-13,20.85
2016-09-14,20.75
2016-09-15,20.8
2016-09-16,20.68
2016-09-19,20.22
2016-09-20,20.05
2016-09-21,20.13
2016-09-22,19.65
2016-09-23,19.35
2016-09-26,19.77
2016-09-27,19.64
2016-09-28,19.35
2016-09-29,19.58
2016-09-30,19.5
2016-10-03,19.2
2016-10-04,19.08
2016-10-05,18.85
2016-10-06,18.93
2016-10-07,19.03
2016-10-10,18.8
2016-10-11,19.2
2016-10-12,19.1
2016-10-13,19.65
2016-10-14,19.32
2016-10-17,19.35
2016-10-18,19.05
2016-10-19,18.88
2016-10-20,18.85
2016-10-21,18.79
2016-10-24,18.47
2016-10-25,18.25
2016-10-26,18.35
2016-10-27,18.63
2016-10-28,18.95
2016-10-31,18.9
2016-11-01,19.43
2016-11-02,19.3
2016-11-03,19.99
2016-11-04,19.95
2016-11-07,19.5
2016-11-08,18.5
2016-11-09,21.03
2016-11-10,18.3
2016-11-11,18.55
2016-11-14,18.5
2016-11-15,18.08
2016-11-16,18.1
2016-11-17,17.85
2016-11-18,17.77
2016-11-21,17.53
2016-11-22,17.4
2016-11-23,17.4
2016-11-25,17.4
2016-11-28,17.5
2016-11-29,17.34
2016-11-30,17.34
2016-12-01,17.8
2016-12-02,17.75
2016-12-05,18.0
2016-12-06,16.95
2016-12-07,16.68
2016-12-08,17.0
2016-12-09,16.85
2016-12-12,16.79
2016-12-13,17.02
2016-12-14,16.97
2016-12-15,16.65
2016-12-16,16.67
2016-12-19,16.42
2016-12-20,16.07
2016-12-21,15.85
2016-12-22,16.05
2016-12-23,16.1
2016-12-27,16.0
2016-12-28,16.25
2016-12-29,16.55
2016-12-30,16.8
2017-01-03,16.46
2017-01-04,15.65
2017-01-05,15.25
2017-01-06,14.85
2017-01-09,14.85
2017-01-10,14.68
2017-01-11,14.8
2017-01-12,14.93
2017-01-13,14.45
2017-01-17,14.77
2017-01-18,14.35
2017-01-19,14.5
2017-01-20,14.35
2017-01-23,14.1
2017-01-24,13.7
2017-01-25,13.0
2017-01-26,12.95
2017-01-27,12.85
2017-01-30,13.65
2017-01-31,13.45
2017-02-01,13.0
2017-02-02,13.2
2017-02-03,13.1
2017-02-06,12.85
2017-02-07,12.65
2017-02-08,12.85
2017-02-09,12.6
2017-02-10,12.1
2017-02-13,11.75
2017-02-14,11.55
2017-02-15,11.5
