Trade Date,Jul17
2016-10-24,18.0
2016-10-25,20.0
2016-10-26,19.9
2016-10-27,20.06
2016-10-28,20.3
2016-10-31,20.24
2016-11-01,20.56
2016-11-02,20.4
2016-11-03,20.76
2016-11-04,20.84
2016-11-07,20.25
2016-11-08,19.7
2016-11-09,21.01
2016-11-10,19.85
2016-11-11,20.1
2016-11-14,20.15
2016-11-15,19.95
2016-11-16,20.2
2016-11-17,19.99
2016-11-18,20.03
2016-11-21,19.97
2016-11-22,19.86
2016-11-23,19.87
2016-11-25,19.89
2016-11-28,19.97
2016-11-29,19.9
2016-11-30,19.87
2016-12-01,20.1
2016-12-02,20.1
2016-12-05,20.15
2016-12-06,19.68
2016-12-07,19.6
2016-12-08,19.76
2016-12-09,19.72
2016-12-12,19.75
2016-12-13,19.78
2016-12-14,19.8
2016-12-15,19.62
2016-12-16,19.65
2016-12-19,19.55
2016-12-20,19.42
2016-12-21,19.35
2016-12-22,19.47
2016-12-23,19.6
2016-12-27,19.45
2016-12-28,19.52
2016-12-29,19.67
2016-12-30,19.83
2017-01-03,19.65
2017-01-04,19.25
2017-01-05,19.05
2017-01-06,18.8
2017-01-09,18.65
2017-01-10,18.75
2017-01-11,18.8
2017-01-12,18.84
2017-01-13,18.79
2017-01-17,19.02
2017-01-18,18.95
2017-01-19,18.95
2017-01-20,18.69
2017-01-23,18.64
2017-01-24,18.34
2017-01-25,17.85
2017-01-26,17.7
2017-01-27,17.75
2017-01-30,18.14
2017-01-31,17.92
2017-02-01,17.65
2017-02-02,17.65
2017-02-03,17.65
2017-02-06,17.45
2017-02-07,17.53
2017-02-08,17.66
2017-02-09,17.61
2017-02-10,17.4
2017-02-13,17.37
2017-02-14,17.15
2017-02-15,16.68
2017-02-16,16.85
2017-02-17,16.69
2017-02-21,16.69
2017-02-22,16.9
2017-02-23,17.2
2017-02-24,17.6
2017-02-27,17.25
2017-02-28,17.18
2017-03-01,17.03
2017-03-02,17.1
2017-03-03,17.08
2017-03-06,16.84
2017-03-07,16.67
2017-03-08,16.8
2017-03-09,16.76
2017-03-10,16.62
2017-03-13,16.53
2017-03-14,16.58
2017-03-15,16.5
2017-03-16,16.3
2017-03-17,16.02
2017-03-20,15.97
2017-03-21,16.15
2017-03-22,16.33
2017-03-23,16.3
2017-03-24,16.42
2017-03-27,16.3
2017-03-28,15.57
2017-03-29,15.21
2017-03-30,15.15
2017-03-31,15.15
2017-04-03,15.22
2017-04-04,15.25
2017-04-05,15.38
2017-04-06,15.4
2017-04-07,15.27
2017-04-10,15.5
2017-04-11,15.9
2017-04-12,15.8
2017-04-13,15.85
2017-04-17,15.86
2017-04-18,15.4
2017-04-19,15.3
2017-04-20,15.19
2017-04-21,15.18
2017-04-24,14.7
2017-04-25,14.2
2017-04-26,14.19
2017-04-27,14.18
2017-04-28,14.2
2017-05-01,14.07
2017-05-02,13.75
2017-05-03,13.89
2017-05-04,13.95
2017-05-05,13.75
2017-05-08,13.7
2017-05-09,13.7
2017-05-10,13.75
2017-05-11,14.0
2017-05-12,13.78
2017-05-15,13.65
2017-05-16,13.4
2017-05-17,14.8
2017-05-18,15.0
2017-05-19,14.6
2017-05-22,13.62
2017-05-23,13.42
2017-05-24,13.42
2017-05-25,13.15
2017-05-26,13.15
2017-05-30,13.05
2017-05-31,13.0
2017-06-01,12.7
2017-06-02,12.57
2017-06-05,12.65
2017-06-06,12.9
2017-06-07,13.05
2017-06-08,12.75
2017-06-09,13.09
2017-06-12,13.05
2017-06-13,12.7
2017-06-14,12.5
2017-06-15,12.85
2017-06-16,12.55
2017-06-19,12.3
2017-06-20,12.35
2017-06-21,12.4
2017-06-22,12.3
2017-06-23,12.15
2017-06-26,12.0
2017-06-27,12.15
2017-06-28,12.35
2017-06-29,13.75
2017-06-30,12.67
2017-07-03,12.65
2017-07-05,12.8
2017-07-06,13.2
2017-07-07,13.15
2017-07-10,12.55
2017-07-11,12.9
2017-07-12,12.25
2017-07-13,11.6
2017-07-14,11.25
2017-07-17,10.7
2017-07-18,10.6
2017-07-19,10.25
