Trade Date,M:08 Y:19
2018-11-26,
2018-11-27,19.38
2018-11-28,
2018-11-29,19.7
2018-11-30,19.12
2018-12-03,18.55
2018-12-04,19.32
2018-12-05,
2018-12-06,19.68
2018-12-07,19.95
2018-12-10,19.88
2018-12-11,19.88
2018-12-12,19.97
2018-12-13,19.9
2018-12-14,20.16
2018-12-17,20.7
2018-12-18,20.84
2018-12-19,21.0
2018-12-20,21.02
2018-12-21,21.2
2018-12-24,21.31
2018-12-26,20.81
2018-12-27,21.07
2018-12-28,20.94
2018-12-31,20.65
2019-01-02,20.73
2019-01-03,20.97
2019-01-04,20.34
2019-01-07,20.16
2019-01-08,20.02
2019-01-09,19.96
2019-01-10,19.92
2019-01-11,19.72
2019-01-14,19.7
2019-01-15,19.37
2019-01-16,19.32
2019-01-17,19.27
2019-01-18,19.05
2019-01-22,19.35
2019-01-23,19.42
2019-01-24,19.17
2019-01-25,18.75
2019-01-28,19.16
2019-01-29,18.87
2019-01-30,18.74
2019-01-31,18.43
2019-02-01,18.25
2019-02-04,18.05
2019-02-05,17.85
2019-02-06,17.72
2019-02-07,17.97
2019-02-08,17.88
2019-02-11,17.95
2019-02-12,17.83
2019-02-13,17.63
2019-02-14,17.81
2019-02-15,17.5
2019-02-19,17.49
2019-02-20,17.28
2019-02-21,17.3
2019-02-22,16.95
2019-02-25,16.95
2019-02-26,17.1
2019-02-27,16.93
2019-02-28,16.91
2019-03-01,16.66
2019-03-04,16.8
2019-03-05,16.85
2019-03-06,17.13
2019-03-07,17.42
2019-03-08,17.51
2019-03-11,16.92
2019-03-12,16.85
2019-03-13,16.7
2019-03-14,16.77
2019-03-15,16.55
2019-03-18,16.71
2019-03-19,16.82
2019-03-20,16.93
2019-03-21,16.65
2019-03-22,17.28
2019-03-25,17.42
2019-03-26,17.23
2019-03-27,17.55
2019-03-28,17.33
2019-03-29,17.06
2019-04-01,16.85
2019-04-02,16.92
2019-04-03,16.71
2019-04-04,16.76
2019-04-05,16.58
2019-04-08,16.45
2019-04-09,16.91
2019-04-10,16.73
2019-04-11,16.58
2019-04-12,16.58
2019-04-15,16.51
2019-04-16,16.62
2019-04-17,16.55
2019-04-18,16.58
2019-04-22,16.45
2019-04-23,16.36
2019-04-24,16.42
2019-04-25,16.7
2019-04-26,16.5
2019-04-29,16.52
2019-04-30,16.51
2019-05-01,17.0
2019-05-02,16.96
2019-05-03,16.57
2019-05-06,17.07
2019-05-07,17.77
2019-05-08,17.7
2019-05-09,17.65
2019-05-10,17.14
2019-05-13,18.35
2019-05-14,17.65
2019-05-15,17.45
2019-05-16,17.05
2019-05-17,17.25
2019-05-20,17.35
2019-05-21,16.91
2019-05-22,17.0
2019-05-23,17.63
2019-05-24,17.52
2019-05-28,17.76
2019-05-29,18.01
2019-05-30,17.8
2019-05-31,18.3
2019-06-03,18.2
2019-06-04,17.64
2019-06-05,17.39
2019-06-06,17.32
2019-06-07,17.35
2019-06-10,17.15
2019-06-11,17.28
2019-06-12,17.25
2019-06-13,17.21
2019-06-14,17.02
2019-06-17,16.89
2019-06-18,16.9
2019-06-19,16.59
2019-06-20,16.7
2019-06-21,17.11
2019-06-24,16.99
2019-06-25,17.3
2019-06-26,17.25
2019-06-27,17.0
2019-06-28,16.62
2019-07-01,16.1
2019-07-02,15.6
2019-07-03,15.53
2019-07-05,15.66
2019-07-08,16.0
2019-07-09,16.1
2019-07-10,15.6
2019-07-11,15.45
2019-07-12,15.19
2019-07-15,15.22
2019-07-16,15.3
2019-07-17,15.83
2019-07-18,15.26
2019-07-19,15.89
2019-07-22,15.2
2019-07-23,14.85
2019-07-24,14.45
2019-07-25,14.76
2019-07-26,14.45
2019-07-29,14.49
2019-07-30,14.95
2019-07-31,16.31
2019-08-01,17.55
2019-08-02,17.45
2019-08-05,21.83
2019-08-06,19.64
2019-08-07,19.3
2019-08-08,17.69
2019-08-09,18.48
2019-08-12,20.6
2019-08-13,18.18
2019-08-14,21.7
2019-08-15,21.15
2019-08-16,18.88
2019-08-19,16.88
2019-08-20,17.55
2019-08-21,15.95
