Trade Date,Sep19
2018-12-24,0.0
2018-12-26,18.85
2018-12-27,18.6
2018-12-28,18.95
2018-12-31,18.85
2019-01-02,20.64
2019-01-03,20.94
2019-01-04,20.55
2019-01-07,20.5
2019-01-08,20.5
2019-01-09,20.2
2019-01-10,20.27
2019-01-11,20.26
2019-01-14,20.15
2019-01-15,19.9
2019-01-16,19.67
2019-01-17,19.73
2019-01-18,19.6
2019-01-22,19.73
2019-01-23,19.85
2019-01-24,19.7
2019-01-25,19.4
2019-01-28,19.55
2019-01-29,19.5
2019-01-30,19.35
2019-01-31,19.1
2019-02-01,18.8
2019-02-04,18.64
2019-02-05,18.37
2019-02-06,18.2
2019-02-07,18.5
2019-02-08,18.51
2019-02-11,18.26
2019-02-12,18.15
2019-02-13,18.1
2019-02-14,18.11
2019-02-15,18.28
2019-02-19,17.9
2019-02-20,17.85
2019-02-21,17.78
2019-02-22,17.62
2019-02-25,17.27
2019-02-26,17.37
2019-02-27,17.5
2019-02-28,17.22
2019-03-01,17.03
2019-03-04,17.2
2019-03-05,17.1
2019-03-06,17.23
2019-03-07,17.62
2019-03-08,17.95
2019-03-11,17.7
2019-03-12,17.09
2019-03-13,17.17
2019-03-14,17.03
2019-03-15,17.0
2019-03-18,17.04
2019-03-19,17.2
2019-03-20,17.15
2019-03-21,17.17
2019-03-22,17.52
2019-03-25,17.65
2019-03-26,17.52
2019-03-27,17.71
2019-03-28,17.75
2019-03-29,17.5
2019-04-01,17.1
2019-04-02,17.11
2019-04-03,17.16
2019-04-04,17.04
2019-04-05,16.95
2019-04-08,16.9
2019-04-09,17.1
2019-04-10,17.08
2019-04-11,17.0
2019-04-12,16.9
2019-04-15,16.95
2019-04-16,16.95
2019-04-17,17.02
2019-04-18,17.02
2019-04-22,17.0
2019-04-23,16.72
2019-04-24,16.82
2019-04-25,16.97
2019-04-26,16.96
2019-04-29,16.9
2019-04-30,17.05
2019-05-01,17.31
2019-05-02,17.42
2019-05-03,17.23
2019-05-06,17.77
2019-05-07,18.27
2019-05-08,18.15
2019-05-09,18.37
2019-05-10,18.2
2019-05-13,18.47
2019-05-14,18.5
2019-05-15,18.05
2019-05-16,17.67
2019-05-17,17.65
2019-05-20,17.7
2019-05-21,17.55
2019-05-22,17.34
2019-05-23,17.83
2019-05-24,17.8
2019-05-28,17.9
2019-05-29,18.2
2019-05-30,18.12
2019-05-31,18.44
2019-06-03,18.67
2019-06-04,18.32
2019-06-05,17.85
2019-06-06,17.76
2019-06-07,17.6
2019-06-10,17.5
2019-06-11,17.55
2019-06-12,17.62
2019-06-13,17.63
2019-06-14,17.62
2019-06-17,17.35
2019-06-18,17.25
2019-06-19,17.23
2019-06-20,17.37
2019-06-21,17.4
2019-06-24,17.37
2019-06-25,17.64
2019-06-26,17.6
2019-06-27,17.57
2019-06-28,17.37
2019-07-01,16.86
2019-07-02,16.7
2019-07-03,16.32
2019-07-05,16.6
2019-07-08,16.5
2019-07-09,16.75
2019-07-10,16.65
2019-07-11,16.28
2019-07-12,16.15
2019-07-15,16.15
2019-07-16,16.25
2019-07-17,16.65
2019-07-18,16.72
2019-07-19,16.8
2019-07-22,16.75
2019-07-23,16.4
2019-07-24,16.25
2019-07-25,16.3
2019-07-26,16.17
2019-07-29,16.02
2019-07-30,16.45
2019-07-31,17.36
2019-08-01,18.12
2019-08-02,18.35
2019-08-05,20.6
2019-08-06,21.52
2019-08-07,20.35
2019-08-08,19.37
2019-08-09,18.95
2019-08-12,20.02
2019-08-13,20.15
2019-08-14,21.01
2019-08-15,21.3
2019-08-16,20.48
2019-08-19,19.3
2019-08-20,18.65
2019-08-21,18.65
2019-08-22,18.4
2019-08-23,20.57
2019-08-26,21.15
2019-08-27,20.5
2019-08-28,20.8
2019-08-29,19.9
2019-08-30,19.16
2019-09-03,19.97
2019-09-04,19.6
2019-09-05,18.25
2019-09-06,17.35
2019-09-09,16.95
2019-09-10,17.06
2019-09-11,16.5
2019-09-12,16.1
2019-09-13,15.05
2019-09-16,15.45
2019-09-17,14.9
2019-09-18,14.8
