Trade Date,Jan20
2019-04-22,0.0
2019-04-23,16.97
2019-04-24,17.28
2019-04-25,17.1
2019-04-26,17.35
2019-04-29,17.4
2019-04-30,17.45
2019-05-01,17.65
2019-05-02,17.7
2019-05-03,17.7
2019-05-06,17.9
2019-05-07,18.35
2019-05-08,18.17
2019-05-09,18.35
2019-05-10,18.35
2019-05-13,18.5
2019-05-14,18.51
2019-05-15,18.05
2019-05-16,17.75
2019-05-17,17.82
2019-05-20,17.86
2019-05-21,17.8
2019-05-22,17.77
2019-05-23,18.08
2019-05-24,18.05
2019-05-28,18.2
2019-05-29,18.33
2019-05-30,18.3
2019-05-31,18.45
2019-06-03,18.65
2019-06-04,18.35
2019-06-05,18.0
2019-06-06,17.85
2019-06-07,17.85
2019-06-10,17.75
2019-06-11,17.75
2019-06-12,17.84
2019-06-13,17.85
2019-06-14,17.85
2019-06-17,17.71
2019-06-18,17.68
2019-06-19,17.62
2019-06-20,17.67
2019-06-21,17.7
2019-06-24,17.65
2019-06-25,17.86
2019-06-26,17.85
2019-06-27,17.83
2019-06-28,17.65
2019-07-01,17.35
2019-07-02,17.25
2019-07-03,17.07
2019-07-05,17.25
2019-07-08,17.16
2019-07-09,17.25
2019-07-10,17.2
2019-07-11,17.18
2019-07-12,17.0
2019-07-15,17.1
2019-07-16,17.25
2019-07-17,17.45
2019-07-18,17.48
2019-07-19,17.47
2019-07-22,17.5
2019-07-23,17.34
2019-07-24,17.1
2019-07-25,17.1
2019-07-26,17.1
2019-07-29,17.0
2019-07-30,17.27
2019-07-31,17.71
2019-08-01,17.89
2019-08-02,17.97
2019-08-05,18.81
2019-08-06,19.3
2019-08-07,18.9
2019-08-08,18.42
2019-08-09,18.13
2019-08-12,18.75
2019-08-13,18.87
2019-08-14,19.35
2019-08-15,19.38
2019-08-16,19.0
2019-08-19,18.57
2019-08-20,18.63
2019-08-21,18.65
2019-08-22,18.58
2019-08-23,19.62
2019-08-26,19.77
2019-08-27,19.67
2019-08-28,19.83
2019-08-29,19.5
2019-08-30,19.22
2019-09-03,19.57
2019-09-04,19.48
2019-09-05,18.91
2019-09-06,18.7
2019-09-09,18.62
2019-09-10,18.63
2019-09-11,18.52
2019-09-12,18.36
2019-09-13,18.25
2019-09-16,18.5
2019-09-17,18.7
2019-09-18,18.75
2019-09-19,18.57
2019-09-20,18.9
2019-09-23,18.92
2019-09-24,19.17
2019-09-25,19.28
2019-09-26,19.18
2019-09-27,19.47
2019-09-30,19.2
2019-10-01,19.5
2019-10-02,20.22
2019-10-03,20.5
2019-10-04,19.91
2019-10-07,19.6
2019-10-08,20.17
2019-10-09,20.15
2019-10-10,20.3
2019-10-11,19.4
2019-10-14,19.13
2019-10-15,18.75
2019-10-16,18.62
2019-10-17,18.45
2019-10-18,18.62
2019-10-21,18.5
2019-10-22,18.46
2019-10-23,18.53
2019-10-24,18.3
2019-10-25,18.17
2019-10-28,18.05
2019-10-29,18.15
2019-10-30,18.23
2019-10-31,18.09
2019-11-01,17.84
2019-11-04,17.4
2019-11-05,17.65
2019-11-06,17.8
2019-11-07,17.63
2019-11-08,17.65
2019-11-11,17.6
2019-11-12,17.26
2019-11-13,17.4
2019-11-14,17.35
2019-11-15,16.97
2019-11-18,16.7
2019-11-19,16.73
2019-11-20,17.21
2019-11-21,17.17
2019-11-22,17.05
2019-11-25,16.65
2019-11-26,16.35
2019-11-27,16.16
2019-11-29,16.45
2019-12-02,17.15
2019-12-03,18.05
2019-12-04,17.8
2019-12-05,17.2
2019-12-06,16.8
2019-12-09,17.2
2019-12-10,17.45
2019-12-11,17.05
2019-12-12,16.85
2019-12-13,16.15
2019-12-16,15.2
2019-12-17,15.05
2019-12-18,15.02
2019-12-19,15.07
2019-12-20,14.85
2019-12-23,14.9
2019-12-24,14.85
2019-12-26,14.65
2019-12-27,15.2
2019-12-30,15.8
2019-12-31,15.85
2020-01-02,14.78
2020-01-03,16.15
2020-01-06,16.15
2020-01-07,15.16
2020-01-08,17.27
2020-01-09,14.35
2020-01-10,13.85
2020-01-13,13.65
2020-01-14,13.58
2020-01-15,13.35
2020-01-16,12.95
2020-01-17,12.95
2020-01-21,13.1
2020-01-22,12.85
