Trade Date,Mar20
2019-06-24,0.0
2019-06-25,17.3
2019-06-26,17.25
2019-06-27,17.15
2019-06-28,17.15
2019-07-01,17.2
2019-07-02,17.2
2019-07-03,17.2
2019-07-05,17.25
2019-07-08,17.4
2019-07-09,17.45
2019-07-10,17.37
2019-07-11,17.32
2019-07-12,17.26
2019-07-15,17.29
2019-07-16,17.45
2019-07-17,17.6
2019-07-18,17.65
2019-07-19,17.65
2019-07-22,17.68
2019-07-23,17.5
2019-07-24,17.31
2019-07-25,17.3
2019-07-26,17.3
2019-07-29,17.22
2019-07-30,17.45
2019-07-31,17.75
2019-08-01,17.96
2019-08-02,18.1
2019-08-05,18.65
2019-08-06,19.05
2019-08-07,18.75
2019-08-08,18.35
2019-08-09,18.1
2019-08-12,18.62
2019-08-13,18.7
2019-08-14,19.18
2019-08-15,19.25
2019-08-16,18.8
2019-08-19,18.4
2019-08-20,18.55
2019-08-21,18.55
2019-08-22,18.52
2019-08-23,19.5
2019-08-26,19.63
2019-08-27,19.55
2019-08-28,19.68
2019-08-29,19.35
2019-08-30,19.1
2019-09-03,19.46
2019-09-04,19.37
2019-09-05,18.85
2019-09-06,18.65
2019-09-09,18.6
2019-09-10,18.65
2019-09-11,18.6
2019-09-12,18.46
2019-09-13,18.4
2019-09-16,18.65
2019-09-17,18.81
2019-09-18,18.87
2019-09-19,18.75
2019-09-20,19.1
2019-09-23,19.1
2019-09-24,19.33
2019-09-25,19.41
2019-09-26,19.3
2019-09-27,19.6
2019-09-30,19.4
2019-10-01,19.65
2019-10-02,20.15
2019-10-03,20.4
2019-10-04,19.92
2019-10-07,19.58
2019-10-08,20.15
2019-10-09,20.13
2019-10-10,20.31
2019-10-11,19.48
2019-10-14,19.3
2019-10-15,19.02
2019-10-16,18.97
2019-10-17,18.81
2019-10-18,18.87
2019-10-21,18.85
2019-10-22,18.8
2019-10-23,18.85
2019-10-24,18.69
2019-10-25,18.65
2019-10-28,18.45
2019-10-29,18.55
2019-10-30,18.67
2019-10-31,18.6
2019-11-01,18.38
2019-11-04,18.15
2019-11-05,18.4
2019-11-06,18.53
2019-11-07,18.47
2019-11-08,18.45
2019-11-11,18.45
2019-11-12,18.25
2019-11-13,18.35
2019-11-14,18.27
2019-11-15,18.0
2019-11-18,18.0
2019-11-19,17.95
2019-11-20,18.37
2019-11-21,18.37
2019-11-22,18.32
2019-11-25,18.03
2019-11-26,17.75
2019-11-27,17.63
2019-11-29,17.87
2019-12-02,18.3
2019-12-03,18.8
2019-12-04,18.65
2019-12-05,18.31
2019-12-06,18.06
2019-12-09,18.1
2019-12-10,18.25
2019-12-11,18.2
2019-12-12,18.0
2019-12-13,17.6
2019-12-16,17.02
2019-12-17,17.0
2019-12-18,16.95
2019-12-19,16.91
2019-12-20,16.75
2019-12-23,16.9
2019-12-24,16.88
2019-12-26,16.85
2019-12-27,17.23
2019-12-30,17.55
2019-12-31,17.62
2020-01-02,17.0
2020-01-03,17.41
2020-01-06,17.33
2020-01-07,17.03
2020-01-08,18.1
2020-01-09,16.45
2020-01-10,16.2
2020-01-13,16.01
2020-01-14,15.92
2020-01-15,15.75
2020-01-16,15.6
2020-01-17,15.6
2020-01-21,15.65
2020-01-22,15.8
2020-01-23,16.06
2020-01-24,16.5
2020-01-27,17.35
2020-01-28,17.32
2020-01-29,16.9
2020-01-30,17.5
2020-01-31,18.35
2020-02-03,17.85
2020-02-04,17.57
2020-02-05,16.8
2020-02-06,16.25
2020-02-07,16.55
2020-02-10,16.62
2020-02-11,16.07
2020-02-12,15.98
2020-02-13,16.2
2020-02-14,15.75
2020-02-18,16.0
2020-02-19,15.8
2020-02-20,16.6
2020-02-21,17.55
2020-02-24,20.7
2020-02-25,23.15
2020-02-26,23.25
2020-02-27,26.75
2020-02-28,30.05
2020-03-02,30.2
2020-03-03,29.95
2020-03-04,29.7
2020-03-05,33.25
2020-03-06,40.15
2020-03-09,53.15
2020-03-10,47.65
2020-03-11,48.8
2020-03-12,60.45
2020-03-13,65.0
2020-03-16,76.25
2020-03-17,79.05
2020-03-18,82.0
