Trade Date,Jun20
2019-09-23,18.9
2019-09-24,19.6
2019-09-25,19.6
2019-09-26,19.4
2019-09-27,19.6
2019-09-30,19.3
2019-10-01,19.65
2019-10-02,20.0
2019-10-03,20.05
2019-10-04,19.75
2019-10-07,19.62
2019-10-08,20.13
2019-10-09,20.08
2019-10-10,20.2
2019-10-11,19.45
2019-10-14,19.38
2019-10-15,19.1
2019-10-16,19.16
2019-10-17,19.02
2019-10-18,19.16
2019-10-21,19.1
2019-10-22,19.05
2019-10-23,19.1
2019-10-24,18.97
2019-10-25,18.95
2019-10-28,18.8
2019-10-29,18.88
2019-10-30,18.9
2019-10-31,18.85
2019-11-01,18.7
2019-11-04,18.49
2019-11-05,18.7
2019-11-06,18.82
2019-11-07,18.82
2019-11-08,18.8
2019-11-11,18.85
2019-11-12,18.75
2019-11-13,18.75
2019-11-14,18.75
2019-11-15,18.54
2019-11-18,18.51
2019-11-19,18.56
2019-11-20,18.88
2019-11-21,18.93
2019-11-22,18.91
2019-11-25,18.71
2019-11-26,18.45
2019-11-27,18.36
2019-11-29,18.5
2019-12-02,18.95
2019-12-03,19.37
2019-12-04,19.2
2019-12-05,18.94
2019-12-06,18.85
2019-12-09,18.83
2019-12-10,18.91
2019-12-11,18.82
2019-12-12,18.65
2019-12-13,18.3
2019-12-16,17.85
2019-12-17,17.95
2019-12-18,17.92
2019-12-19,17.92
2019-12-20,17.75
2019-12-23,17.77
2019-12-24,17.8
2019-12-26,17.75
2019-12-27,18.1
2019-12-30,18.33
2019-12-31,18.37
2020-01-02,17.9
2020-01-03,18.1
2020-01-06,18.05
2020-01-07,17.85
2020-01-08,18.4
2020-01-09,17.4
2020-01-10,17.27
2020-01-13,17.1
2020-01-14,17.1
2020-01-15,17.0
2020-01-16,16.82
2020-01-17,16.8
2020-01-21,16.95
2020-01-22,16.9
2020-01-23,17.15
2020-01-24,17.26
2020-01-27,17.78
2020-01-28,17.65
2020-01-29,17.45
2020-01-30,17.72
2020-01-31,18.0
2020-02-03,17.9
2020-02-04,17.63
2020-02-05,17.07
2020-02-06,16.92
2020-02-07,17.11
2020-02-10,17.17
2020-02-11,16.95
2020-02-12,16.95
2020-02-13,17.27
2020-02-14,16.95
2020-02-18,17.1
2020-02-19,17.05
2020-02-20,17.38
2020-02-21,17.61
2020-02-24,18.72
2020-02-25,19.65
2020-02-26,19.65
2020-02-27,21.15
2020-02-28,22.3
2020-03-02,21.39
2020-03-03,21.75
2020-03-04,21.82
2020-03-05,23.67
2020-03-06,26.32
2020-03-09,30.75
2020-03-10,28.65
2020-03-11,29.92
2020-03-12,33.45
2020-03-13,34.1
2020-03-16,40.75
2020-03-17,42.1
2020-03-18,56.0
2020-03-19,56.55
2020-03-20,52.12
2020-03-23,55.76
2020-03-24,40.1
2020-03-25,40.65
2020-03-26,41.8
2020-03-27,39.55
2020-03-30,40.98
2020-03-31,39.0
2020-04-01,40.69
2020-04-02,40.06
2020-04-03,39.25
2020-04-06,37.75
2020-04-07,36.85
2020-04-08,37.05
2020-04-09,36.7
2020-04-13,35.52
2020-04-14,34.1
2020-04-15,34.96
2020-04-16,35.7
2020-04-17,34.29
2020-04-20,36.27
2020-04-21,39.67
2020-04-22,39.05
2020-04-23,38.07
2020-04-24,38.45
2020-04-27,35.75
2020-04-28,34.2
2020-04-29,33.9
2020-04-30,34.0
2020-05-01,36.17
2020-05-04,37.5
2020-05-05,35.22
2020-05-06,34.61
2020-05-07,34.72
2020-05-08,32.77
2020-05-11,32.08
2020-05-12,33.12
2020-05-13,36.05
2020-05-14,37.57
2020-05-15,35.15
2020-05-18,32.75
2020-05-19,32.15
2020-05-20,32.4
2020-05-21,31.3
2020-05-22,32.55
2020-05-26,30.65
2020-05-27,31.35
2020-05-28,30.8
2020-05-29,31.2
2020-06-01,30.45
2020-06-02,29.96
2020-06-03,28.3
2020-06-04,27.7
2020-06-05,26.9
2020-06-08,26.25
2020-06-09,27.8
2020-06-10,28.35
2020-06-11,40.9
2020-06-12,42.55
2020-06-15,41.85
2020-06-16,36.65
2020-06-17,34.25
