Trade Date,Aug20
2019-11-25,19.0
2019-11-26,18.7
2019-11-27,18.65
2019-11-29,18.8
2019-12-02,19.1
2019-12-03,19.5
2019-12-04,19.3
2019-12-05,19.07
2019-12-06,19.04
2019-12-09,19.05
2019-12-10,19.16
2019-12-11,19.14
2019-12-12,18.85
2019-12-13,18.62
2019-12-16,18.2
2019-12-17,18.32
2019-12-18,18.26
2019-12-19,18.25
2019-12-20,18.2
2019-12-23,18.15
2019-12-24,18.22
2019-12-26,18.15
2019-12-27,18.33
2019-12-30,18.55
2019-12-31,18.61
2020-01-02,18.15
2020-01-03,18.35
2020-01-06,18.35
2020-01-07,18.15
2020-01-08,18.5
2020-01-09,17.75
2020-01-10,17.6
2020-01-13,17.49
2020-01-14,17.45
2020-01-15,17.38
2020-01-16,17.25
2020-01-17,17.22
2020-01-21,17.32
2020-01-22,17.35
2020-01-23,17.53
2020-01-24,17.58
2020-01-27,18.1
2020-01-28,17.9
2020-01-29,17.75
2020-01-30,17.92
2020-01-31,18.07
2020-02-03,18.0
2020-02-04,17.8
2020-02-05,17.3
2020-02-06,17.21
2020-02-07,17.4
2020-02-10,17.4
2020-02-11,17.2
2020-02-12,17.15
2020-02-13,17.41
2020-02-14,17.18
2020-02-18,17.3
2020-02-19,17.26
2020-02-20,17.56
2020-02-21,17.75
2020-02-24,18.67
2020-02-25,19.24
2020-02-26,19.2
2020-02-27,20.12
2020-02-28,20.95
2020-03-02,20.25
2020-03-03,20.67
2020-03-04,20.67
2020-03-05,22.22
2020-03-06,24.5
2020-03-09,27.95
2020-03-10,26.5
2020-03-11,27.1
2020-03-12,29.75
2020-03-13,30.0
2020-03-16,32.95
2020-03-17,32.9
2020-03-18,39.7
2020-03-19,41.0
2020-03-20,37.93
2020-03-23,40.8
2020-03-24,30.2
2020-03-25,33.0
2020-03-26,32.84
2020-03-27,32.67
2020-03-30,32.95
2020-03-31,31.8
2020-04-01,34.49
2020-04-02,34.08
2020-04-03,34.05
2020-04-06,32.95
2020-04-07,32.6
2020-04-08,32.7
2020-04-09,32.4
2020-04-13,31.7
2020-04-14,31.0
2020-04-15,31.7
2020-04-16,32.3
2020-04-17,31.85
2020-04-20,32.94
2020-04-21,35.31
2020-04-22,34.7
2020-04-23,34.16
2020-04-24,34.29
2020-04-27,32.92
2020-04-28,31.95
2020-04-29,31.8
2020-04-30,31.9
2020-05-01,33.57
2020-05-04,34.45
2020-05-05,33.15
2020-05-06,32.67
2020-05-07,32.65
2020-05-08,31.5
2020-05-11,30.97
2020-05-12,32.05
2020-05-13,33.21
2020-05-14,34.45
2020-05-15,33.4
2020-05-18,32.05
2020-05-19,31.35
2020-05-20,31.46
2020-05-21,31.26
2020-05-22,32.17
2020-05-26,31.0
2020-05-27,31.05
2020-05-28,30.95
2020-05-29,31.35
2020-06-01,30.9
2020-06-02,30.75
2020-06-03,29.9
2020-06-04,29.37
2020-06-05,28.75
2020-06-08,27.95
2020-06-09,29.15
2020-06-10,29.3
2020-06-11,37.0
2020-06-12,38.15
2020-06-15,37.8
2020-06-16,34.32
2020-06-17,34.15
2020-06-18,34.5
2020-06-19,34.85
2020-06-22,35.76
2020-06-23,33.65
2020-06-24,34.71
2020-06-25,34.95
2020-06-26,34.65
2020-06-29,34.9
2020-06-30,33.58
2020-07-01,32.6
2020-07-02,31.35
2020-07-06,30.58
2020-07-07,31.2
2020-07-08,31.47
2020-07-09,32.07
2020-07-10,31.95
2020-07-13,33.4
2020-07-14,33.64
2020-07-15,31.73
2020-07-16,31.76
2020-07-17,30.3
2020-07-20,29.6
2020-07-21,28.3
2020-07-22,28.65
2020-07-23,29.11
2020-07-24,29.9
2020-07-27,29.0
2020-07-28,28.06
2020-07-29,27.9
2020-07-30,29.71
2020-07-31,28.26
2020-08-03,27.3
2020-08-04,26.9
2020-08-05,26.1
2020-08-06,25.85
2020-08-07,25.66
2020-08-10,24.8
2020-08-11,25.4
2020-08-12,25.03
2020-08-13,23.65
2020-08-14,24.3
2020-08-17,23.2
2020-08-18,22.56
2020-08-19,21.95
