Trade Date,Nov20
2019-12-09,19.0
2019-12-10,19.9
2019-12-11,19.0
2019-12-12,19.2
2019-12-13,19.4
2019-12-16,18.65
2019-12-17,19.07
2019-12-18,19.15
2019-12-19,19.05
2019-12-20,18.87
2019-12-23,18.92
2019-12-24,18.94
2019-12-26,18.88
2019-12-27,18.85
2019-12-30,19.0
2019-12-31,19.1
2020-01-02,18.96
2020-01-03,18.85
2020-01-06,19.0
2020-01-07,18.87
2020-01-08,19.15
2020-01-09,18.74
2020-01-10,18.6
2020-01-13,18.5
2020-01-14,18.4
2020-01-15,18.35
2020-01-16,18.25
2020-01-17,18.0
2020-01-21,17.9
2020-01-22,17.75
2020-01-23,17.99
2020-01-24,18.0
2020-01-27,18.22
2020-01-28,18.25
2020-01-29,18.1
2020-01-30,18.25
2020-01-31,18.3
2020-02-03,18.2
2020-02-04,18.14
2020-02-05,17.9
2020-02-06,17.92
2020-02-07,18.0
2020-02-10,18.0
2020-02-11,17.95
2020-02-12,18.05
2020-02-13,18.0
2020-02-14,17.95
2020-02-18,18.0
2020-02-19,18.05
2020-02-20,18.16
2020-02-21,18.6
2020-02-24,19.35
2020-02-25,19.9
2020-02-26,19.9
2020-02-27,20.57
2020-02-28,21.16
2020-03-02,20.8
2020-03-03,20.8
2020-03-04,20.5
2020-03-05,21.5
2020-03-06,23.59
2020-03-09,26.45
2020-03-10,25.04
2020-03-11,25.7
2020-03-12,27.6
2020-03-13,27.5
2020-03-16,30.0
2020-03-17,29.95
2020-03-18,33.3
2020-03-19,35.0
2020-03-20,32.2
2020-03-23,34.45
2020-03-24,28.1
2020-03-25,30.4
2020-03-26,29.7
2020-03-27,30.05
2020-03-30,30.15
2020-03-31,28.8
2020-04-01,31.01
2020-04-02,30.7
2020-04-03,30.8
2020-04-06,29.91
2020-04-07,29.9
2020-04-08,29.9
2020-04-09,29.52
2020-04-13,29.08
2020-04-14,28.65
2020-04-15,29.7
2020-04-16,30.1
2020-04-17,30.0
2020-04-20,31.3
2020-04-21,33.1
2020-04-22,31.95
2020-04-23,31.75
2020-04-24,31.85
2020-04-27,30.45
2020-04-28,29.65
2020-04-29,29.45
2020-04-30,29.7
2020-05-01,31.45
2020-05-04,32.1
2020-05-05,31.21
2020-05-06,30.9
2020-05-07,30.8
2020-05-08,29.85
2020-05-11,29.51
2020-05-12,30.65
2020-05-13,32.11
2020-05-14,32.75
2020-05-15,31.8
2020-05-18,31.12
2020-05-19,30.75
2020-05-20,30.85
2020-05-21,30.65
2020-05-22,31.3
2020-05-26,30.3
2020-05-27,30.56
2020-05-28,30.38
2020-05-29,30.75
2020-06-01,30.45
2020-06-02,30.3
2020-06-03,29.8
2020-06-04,29.45
2020-06-05,29.0
2020-06-08,28.25
2020-06-09,29.1
2020-06-10,29.25
2020-06-11,33.56
2020-06-12,33.95
2020-06-15,34.15
2020-06-16,32.02
2020-06-17,31.9
2020-06-18,32.33
2020-06-19,32.72
2020-06-22,33.7
2020-06-23,31.98
2020-06-24,32.55
2020-06-25,32.97
2020-06-26,32.85
2020-06-29,32.95
2020-06-30,32.0
2020-07-01,31.15
2020-07-02,30.46
2020-07-06,30.3
2020-07-07,30.8
2020-07-08,30.95
2020-07-09,31.22
2020-07-10,31.3
2020-07-13,32.6
2020-07-14,32.9
2020-07-15,31.75
2020-07-16,31.85
2020-07-17,31.0
2020-07-20,30.8
2020-07-21,29.65
2020-07-22,30.1
2020-07-23,30.2
2020-07-24,30.77
2020-07-27,30.5
2020-07-28,30.32
2020-07-29,30.3
2020-07-30,31.61
2020-07-31,30.82
2020-08-03,30.24
2020-08-04,29.95
2020-08-05,29.27
2020-08-06,29.41
2020-08-07,29.35
2020-08-10,29.07
2020-08-11,29.35
2020-08-12,29.3
2020-08-13,28.9
2020-08-14,29.25
2020-08-17,28.75
2020-08-18,28.66
2020-08-19,28.73
2020-08-20,29.4
2020-08-21,29.3
2020-08-24,29.02
2020-08-25,29.58
2020-08-26,29.69
2020-08-27,31.6
2020-08-28,31.12
2020-08-31,31.7
2020-09-01,32.0
2020-09-02,33.65
2020-09-03,36.2
2020-09-04,36.81
2020-09-08,35.17
2020-09-09,32.98
2020-09-10,32.18
2020-09-11,31.37
2020-09-14,30.45
2020-09-15,30.57
2020-09-16,30.81
2020-09-17,31.84
2020-09-18,31.32
2020-09-21,32.8
2020-09-22,32.75
2020-09-23,33.54
2020-09-24,34.17
2020-09-25,34.0
2020-09-28,33.2
2020-09-29,33.27
2020-09-30,32.96
2020-10-01,33.1
2020-10-02,35.26
2020-10-05,33.0
2020-10-06,32.71
2020-10-07,32.52
2020-10-08,31.8
2020-10-09,30.36
2020-10-12,29.35
2020-10-13,29.28
2020-10-14,28.9
2020-10-15,29.75
2020-10-16,29.05
2020-10-19,30.3
2020-10-20,30.2
2020-10-21,30.45
2020-10-22,29.85
2020-10-23,29.32
2020-10-26,31.85
2020-10-27,32.05
2020-10-28,36.2
2020-10-29,36.15
2020-10-30,36.5
2020-11-02,35.25
2020-11-03,33.2
2020-11-04,33.1
2020-11-05,29.0
2020-11-06,28.9
2020-11-09,25.63
2020-11-10,26.15
2020-11-11,24.96
2020-11-12,26.9
2020-11-13,26.5
2020-11-16,24.11
2020-11-17,24.21
2020-11-18,23.6
