Trade Date,May21
2020-08-24,26.05
2020-08-25,27.5
2020-08-26,27.5
2020-08-27,25.55
2020-08-28,27.47
2020-08-31,26.4
2020-09-01,27.14
2020-09-02,25.1
2020-09-03,28.0
2020-09-04,28.4
2020-09-08,27.18
2020-09-09,25.45
2020-09-10,26.75
2020-09-11,26.43
2020-09-14,26.9
2020-09-15,27.05
2020-09-16,27.25
2020-09-17,27.65
2020-09-18,27.9
2020-09-21,28.65
2020-09-22,28.55
2020-09-23,29.05
2020-09-24,29.1
2020-09-25,28.9
2020-09-28,28.2
2020-09-29,27.87
2020-09-30,27.9
2020-10-01,28.0
2020-10-02,29.2
2020-10-05,28.2
2020-10-06,28.2
2020-10-07,27.95
2020-10-08,27.81
2020-10-09,27.4
2020-10-12,26.85
2020-10-13,27.15
2020-10-14,26.75
2020-10-15,27.1
2020-10-16,27.07
2020-10-19,27.7
2020-10-20,27.57
2020-10-21,27.6
2020-10-22,27.35
2020-10-23,27.1
2020-10-26,28.25
2020-10-27,28.75
2020-10-28,29.66
2020-10-29,29.15
2020-10-30,29.15
2020-11-02,28.85
2020-11-03,28.0
2020-11-04,28.07
2020-11-05,27.15
2020-11-06,27.3
2020-11-09,26.2
2020-11-10,25.57
2020-11-11,25.65
2020-11-12,26.15
2020-11-13,26.2
2020-11-16,25.8
2020-11-17,26.1
2020-11-18,26.2
2020-11-19,26.25
2020-11-20,26.25
2020-11-23,26.05
2020-11-24,25.92
2020-11-25,26.0
2020-11-27,25.55
2020-11-30,26.16
2020-12-01,25.47
2020-12-02,25.57
2020-12-03,25.55
2020-12-04,25.5
2020-12-07,25.65
2020-12-08,25.75
2020-12-09,25.9
2020-12-10,26.0
2020-12-11,26.72
2020-12-14,26.7
2020-12-15,26.8
2020-12-16,26.5
2020-12-17,26.17
2020-12-18,26.48
2020-12-21,27.7
2020-12-22,26.85
2020-12-23,27.1
2020-12-24,26.0
2020-12-28,25.95
2020-12-29,26.51
2020-12-30,26.46
2020-12-31,26.0
2021-01-04,27.17
2021-01-05,27.2
2021-01-06,26.77
2021-01-07,25.72
2021-01-08,25.97
2021-01-11,26.57
2021-01-12,26.7
2021-01-13,26.35
2021-01-14,26.67
2021-01-15,27.27
2021-01-19,27.1
2021-01-20,26.96
2021-01-21,27.14
2021-01-22,27.5
2021-01-25,28.1
2021-01-26,27.95
2021-01-27,30.9
2021-01-28,30.6
2021-01-29,30.95
2021-02-01,31.29
2021-02-02,30.35
2021-02-03,28.95
2021-02-04,28.45
2021-02-05,28.25
2021-02-08,28.25
2021-02-09,28.5
2021-02-10,29.4
2021-02-11,29.62
2021-02-12,29.45
2021-02-16,29.15
2021-02-17,30.03
2021-02-18,29.81
2021-02-19,29.72
2021-02-22,29.62
2021-02-23,30.15
2021-02-24,29.3
2021-02-25,30.45
2021-02-26,29.98
2021-03-01,29.03
2021-03-02,28.16
2021-03-03,28.72
2021-03-04,29.92
2021-03-05,29.93
2021-03-08,28.92
2021-03-09,28.35
2021-03-10,28.12
2021-03-11,27.82
2021-03-12,27.75
2021-03-15,27.27
2021-03-16,26.42
2021-03-17,26.33
2021-03-18,26.1
2021-03-19,26.21
2021-03-22,25.7
2021-03-23,25.0
2021-03-24,24.85
2021-03-25,25.81
2021-03-26,24.45
2021-03-29,24.25
2021-03-30,23.85
2021-03-31,23.07
2021-04-01,22.73
2021-04-05,21.87
2021-04-06,21.7
2021-04-07,21.6
2021-04-08,21.0
2021-04-09,21.1
2021-04-12,21.4
2021-04-13,20.97
2021-04-14,20.96
2021-04-15,20.86
2021-04-16,20.46
2021-04-19,21.25
2021-04-20,21.8
2021-04-21,21.56
2021-04-22,21.65
2021-04-23,21.15
2021-04-26,20.55
2021-04-27,20.45
2021-04-28,20.0
2021-04-29,20.4
2021-04-30,20.7
2021-05-03,20.55
2021-05-04,22.0
2021-05-05,20.85
2021-05-06,21.1
2021-05-07,19.95
2021-05-10,19.93
2021-05-11,22.1
2021-05-12,27.15
2021-05-13,27.03
2021-05-14,22.9
2021-05-17,21.35
2021-05-18,21.9
2021-05-19,25.35
