Trade Date,Feb22
2021-05-24,24.85
2021-05-25,24.65
2021-05-26,24.35
2021-05-27,24.35
2021-05-28,23.9
2021-06-01,24.15
2021-06-02,24.4
2021-06-03,24.75
2021-06-04,24.55
2021-06-07,24.25
2021-06-08,24.15
2021-06-09,24.3
2021-06-10,24.25
2021-06-11,23.5
2021-06-14,23.75
2021-06-15,23.7
2021-06-16,23.95
2021-06-17,24.05
2021-06-18,24.3
2021-06-21,24.4
2021-06-22,24.05
2021-06-23,23.6
2021-06-24,23.45
2021-06-25,23.5
2021-06-28,23.55
2021-06-29,23.6
2021-06-30,23.75
2021-07-01,23.7
2021-07-02,23.51
2021-07-06,23.9
2021-07-07,24.2
2021-07-08,24.61
2021-07-09,24.05
2021-07-12,24.05
2021-07-13,24.12
2021-07-14,24.25
2021-07-15,24.6
2021-07-16,24.4
2021-07-19,25.2
2021-07-20,24.9
2021-07-21,24.75
2021-07-22,24.3
2021-07-23,24.25
2021-07-26,24.5
2021-07-27,24.92
2021-07-28,24.7
2021-07-29,24.5
2021-07-30,24.7
2021-08-02,24.9
2021-08-03,24.97
2021-08-04,24.62
2021-08-05,24.5
2021-08-06,24.25
2021-08-09,24.2
2021-08-10,24.12
2021-08-11,24.1
2021-08-12,23.8
2021-08-13,23.71
2021-08-16,23.97
2021-08-17,24.27
2021-08-18,24.73
2021-08-19,25.05
2021-08-20,25.02
2021-08-23,24.45
2021-08-24,24.36
2021-08-25,24.38
2021-08-26,24.51
2021-08-27,24.36
2021-08-30,23.95
2021-08-31,23.95
2021-09-01,23.86
2021-09-02,23.82
2021-09-03,23.95
2021-09-07,24.2
2021-09-08,24.55
2021-09-09,24.6
2021-09-10,24.82
2021-09-13,24.87
2021-09-14,24.95
2021-09-15,24.75
2021-09-16,24.62
2021-09-17,24.85
2021-09-20,26.33
2021-09-21,25.82
2021-09-22,25.6
2021-09-23,24.6
2021-09-24,24.5
2021-09-27,24.15
2021-09-28,25.26
2021-09-29,25.2
2021-09-30,25.4
2021-10-01,25.6
2021-10-04,25.55
2021-10-05,25.55
2021-10-06,25.5
2021-10-07,24.85
2021-10-08,24.57
2021-10-11,24.7
2021-10-12,24.75
2021-10-13,24.5
2021-10-14,23.95
2021-10-15,23.75
2021-10-18,24.0
2021-10-19,24.02
2021-10-20,23.73
2021-10-21,23.6
2021-10-22,23.65
2021-10-25,23.68
2021-10-26,23.47
2021-10-27,23.7
2021-10-28,23.6
2021-10-29,23.65
2021-11-01,23.71
2021-11-02,23.5
2021-11-03,23.1
2021-11-04,22.92
2021-11-05,23.3
2021-11-08,23.5
2021-11-09,23.78
2021-11-10,23.96
2021-11-11,23.65
2021-11-12,23.37
2021-11-15,23.49
2021-11-16,23.25
2021-11-17,23.66
2021-11-18,23.95
2021-11-19,24.21
2021-11-22,24.15
2021-11-23,24.4
2021-11-24,24.37
2021-11-26,27.7
2021-11-29,26.5
2021-11-30,26.75
2021-12-01,27.78
2021-12-02,27.8
2021-12-03,29.35
2021-12-06,28.18
2021-12-07,26.85
2021-12-08,25.15
2021-12-09,24.58
2021-12-10,24.53
2021-12-13,24.45
2021-12-14,25.3
2021-12-15,25.32
2021-12-16,24.62
2021-12-17,25.2
2021-12-20,26.8
2021-12-21,25.2
2021-12-22,24.75
2021-12-23,23.57
2021-12-27,23.55
2021-12-28,23.17
2021-12-29,22.77
2021-12-30,22.23
2021-12-31,22.3
2022-01-03,22.1
2022-01-04,21.85
2022-01-05,22.8
2022-01-06,23.35
2022-01-07,23.27
2022-01-10,23.8
2022-01-11,22.4
2022-01-12,21.25
2022-01-13,22.25
2022-01-14,22.93
2022-01-18,23.6
2022-01-19,24.16
2022-01-20,25.88
2022-01-21,27.6
2022-01-24,33.1
2022-01-25,31.15
2022-01-26,29.45
2022-01-27,30.7
2022-01-28,30.1
2022-01-31,27.94
2022-02-01,25.15
2022-02-02,23.35
2022-02-03,25.85
2022-02-04,26.1
2022-02-07,24.7
2022-02-08,23.91
2022-02-09,22.38
2022-02-10,24.95
2022-02-11,29.7
2022-02-14,30.82
2022-02-15,28.8
2022-02-16,26.3
