Trade Date,M:08 Y:23
2022-11-21,
2022-11-22,27.74
2022-11-23,27.3
2022-11-25,27.05
2022-11-28,27.82
2022-11-29,27.9
2022-11-30,27.1
2022-12-01,26.91
2022-12-02,26.65
2022-12-05,26.58
2022-12-06,26.65
2022-12-07,26.9
2022-12-08,26.74
2022-12-09,26.95
2022-12-12,26.8
2022-12-13,26.7
2022-12-14,26.4
2022-12-15,27.07
2022-12-16,27.15
2022-12-19,27.1
2022-12-20,26.8
2022-12-21,26.47
2022-12-22,27.02
2022-12-23,26.79
2022-12-27,26.77
2022-12-28,26.85
2022-12-29,26.8
2022-12-30,26.6
2023-01-03,26.35
2023-01-04,26.03
2023-01-05,25.92
2023-01-06,25.35
2023-01-09,25.39
2023-01-10,24.85
2023-01-11,24.85
2023-01-12,24.53
2023-01-13,24.02
2023-01-17,24.25
2023-01-18,24.67
2023-01-19,24.67
2023-01-20,24.19
2023-01-23,23.8
2023-01-24,23.33
2023-01-25,23.15
2023-01-26,22.9
2023-01-27,22.67
2023-01-30,22.7
2023-01-31,22.45
2023-02-01,22.2
2023-02-02,22.43
2023-02-03,22.65
2023-02-06,22.8
2023-02-07,22.65
2023-02-08,22.96
2023-02-09,23.3
2023-02-10,23.65
2023-02-13,23.1
2023-02-14,22.83
2023-02-15,22.6
2023-02-16,23.08
2023-02-17,23.1
2023-02-21,23.87
2023-02-22,23.41
2023-02-23,23.11
2023-02-24,23.6
2023-02-27,23.25
2023-02-28,23.1
2023-03-01,23.27
2023-03-02,22.77
2023-03-03,22.37
2023-03-06,22.06
2023-03-07,22.32
2023-03-08,22.09
2023-03-09,23.22
2023-03-10,24.21
2023-03-13,24.77
2023-03-14,24.12
2023-03-15,25.5
2023-03-16,24.32
2023-03-17,25.7
2023-03-20,25.44
2023-03-21,24.27
2023-03-22,24.43
2023-03-23,24.72
2023-03-24,24.74
2023-03-27,24.06
2023-03-28,23.9
2023-03-29,23.58
2023-03-30,23.73
2023-03-31,23.67
2023-04-03,23.38
2023-04-04,23.85
2023-04-05,24.03
2023-04-06,23.82
2023-04-10,23.45
2023-04-11,23.36
2023-04-12,23.32
2023-04-13,23.02
2023-04-14,23.01
2023-04-17,22.73
2023-04-18,22.9
2023-04-19,22.94
2023-04-20,23.22
2023-04-21,23.23
2023-04-24,23.21
2023-04-25,23.98
2023-04-26,23.82
2023-04-27,23.51
2023-04-28,23.44
2023-05-01,23.25
2023-05-02,23.51
2023-05-03,24.15
2023-05-04,24.5
2023-05-05,23.52
2023-05-08,23.29
2023-05-09,23.37
2023-05-10,23.04
2023-05-11,22.78
2023-05-12,22.9
2023-05-15,22.51
2023-05-16,22.93
2023-05-17,22.48
2023-05-18,21.91
2023-05-19,22.45
2023-05-22,22.34
2023-05-23,22.41
2023-05-24,22.51
2023-05-25,22.42
2023-05-26,21.6
2023-05-30,21.48
2023-05-31,21.33
2023-06-01,20.38
2023-06-02,19.9
2023-06-05,19.53
2023-06-06,18.71
2023-06-07,18.8
2023-06-08,18.37
2023-06-09,18.34
2023-06-12,18.3
2023-06-13,18.37
2023-06-14,17.97
2023-06-15,18.22
2023-06-16,17.8
2023-06-20,17.81
2023-06-21,17.57
2023-06-22,17.31
2023-06-23,17.55
2023-06-26,17.37
2023-06-27,16.86
2023-06-28,16.4
2023-06-29,16.61
2023-06-30,16.43
2023-07-03,16.35
2023-07-05,16.5
2023-07-06,17.29
2023-07-07,16.89
2023-07-10,16.75
2023-07-11,16.55
2023-07-12,15.78
2023-07-13,15.91
2023-07-14,15.75
2023-07-17,15.8
2023-07-18,15.53
2023-07-19,15.86
2023-07-20,15.8
2023-07-21,15.7
2023-07-24,15.4
2023-07-25,15.25
2023-07-26,14.91
2023-07-27,15.61
2023-07-28,15.1
2023-07-31,14.89
2023-08-01,15.19
2023-08-02,16.84
2023-08-03,16.6
2023-08-04,17.35
2023-08-07,16.2
2023-08-08,16.53
2023-08-09,16.31
2023-08-10,16.09
2023-08-11,15.3
2023-08-14,14.83
2023-08-15,16.22
2023-08-16,16.6
