Trade Date,Oct23
2023-01-23,24.3
2023-01-24,24.19
2023-01-25,24.12
2023-01-26,23.56
2023-01-27,23.25
2023-01-30,23.35
2023-01-31,23.15
2023-02-01,23.19
2023-02-02,23.0
2023-02-03,23.3
2023-02-06,23.45
2023-02-07,23.36
2023-02-08,23.45
2023-02-09,23.75
2023-02-10,24.05
2023-02-13,24.05
2023-02-14,23.5
2023-02-15,23.35
2023-02-16,23.4
2023-02-17,23.85
2023-02-21,24.2
2023-02-22,24.23
2023-02-23,23.9
2023-02-24,24.1
2023-02-27,23.95
2023-02-28,23.7
2023-03-01,23.7
2023-03-02,23.9
2023-03-03,23.3
2023-03-06,22.9
2023-03-07,22.81
2023-03-08,22.85
2023-03-09,23.5
2023-03-10,25.35
2023-03-13,25.2
2023-03-14,24.81
2023-03-15,26.15
2023-03-16,25.6
2023-03-17,25.7
2023-03-20,26.48
2023-03-21,25.52
2023-03-22,24.65
2023-03-23,25.1
2023-03-24,25.77
2023-03-27,24.95
2023-03-28,24.47
2023-03-29,24.13
2023-03-30,24.27
2023-03-31,24.12
2023-04-03,24.25
2023-04-04,24.55
2023-04-05,24.71
2023-04-06,24.68
2023-04-10,24.65
2023-04-11,24.15
2023-04-12,24.1
2023-04-13,24.1
2023-04-14,24.02
2023-04-17,23.9
2023-04-18,23.95
2023-04-19,24.07
2023-04-20,24.2
2023-04-21,24.25
2023-04-24,24.35
2023-04-25,24.91
2023-04-26,24.82
2023-04-27,24.6
2023-04-28,24.56
2023-05-01,24.37
2023-05-02,24.96
2023-05-03,25.0
2023-05-04,25.33
2023-05-05,25.1
2023-05-08,24.65
2023-05-09,24.48
2023-05-10,24.5
2023-05-11,24.35
2023-05-12,24.15
2023-05-15,24.05
2023-05-16,24.25
2023-05-17,24.15
2023-05-18,23.75
2023-05-19,23.9
2023-05-22,23.97
2023-05-23,23.95
2023-05-24,23.9
2023-05-25,23.83
2023-05-26,23.64
2023-05-30,23.05
2023-05-31,23.05
2023-06-01,22.73
2023-06-02,22.0
2023-06-05,21.6
2023-06-06,21.3
2023-06-07,20.71
2023-06-08,20.7
2023-06-09,20.31
2023-06-12,20.4
2023-06-13,20.21
2023-06-14,20.3
2023-06-15,20.05
2023-06-16,20.1
2023-06-20,19.95
2023-06-21,19.83
2023-06-22,19.85
2023-06-23,19.85
2023-06-26,19.75
2023-06-27,19.45
2023-06-28,18.97
2023-06-29,18.75
2023-06-30,18.65
2023-07-03,18.35
2023-07-05,18.55
2023-07-06,19.7
2023-07-07,19.15
2023-07-10,18.88
2023-07-11,18.45
2023-07-12,18.35
2023-07-13,17.8
2023-07-14,17.99
2023-07-17,17.75
2023-07-18,17.75
2023-07-19,18.02
2023-07-20,18.18
2023-07-21,18.0
2023-07-24,17.9
2023-07-25,17.65
2023-07-26,17.72
2023-07-27,18.1
2023-07-28,17.72
2023-07-31,17.51
2023-08-01,17.68
2023-08-02,18.8
2023-08-03,19.05
2023-08-04,18.9
2023-08-07,18.66
2023-08-08,19.42
2023-08-09,18.77
2023-08-10,18.63
2023-08-11,18.71
2023-08-14,18.21
2023-08-15,18.55
2023-08-16,18.6
2023-08-17,19.3
2023-08-18,19.8
2023-08-21,19.03
2023-08-22,18.88
2023-08-23,18.7
2023-08-24,18.9
2023-08-25,18.97
2023-08-28,18.15
2023-08-29,17.64
2023-08-30,17.27
2023-08-31,16.78
2023-09-01,16.4
2023-09-05,16.45
2023-09-06,16.8
2023-09-07,17.1
2023-09-08,16.7
2023-09-11,16.11
2023-09-12,16.0
2023-09-13,16.1
2023-09-14,15.65
2023-09-15,15.85
2023-09-18,16.08
2023-09-19,16.05
2023-09-20,16.3
2023-09-21,17.65
2023-09-22,17.7
2023-09-25,18.21
2023-09-26,19.3
2023-09-27,19.5
2023-09-28,18.55
2023-09-29,17.85
2023-10-02,18.3
2023-10-03,20.05
2023-10-04,20.35
2023-10-05,19.5
2023-10-06,19.6
2023-10-09,19.6
2023-10-10,17.75
2023-10-11,17.75
2023-10-12,17.85
2023-10-13,20.2
2023-10-16,19.36
2023-10-17,18.45
2023-10-18,18.5
