Trade Date,Apr24
2023-07-24,20.0
2023-07-25,20.0
2023-07-26,20.0
2023-07-27,20.3
2023-07-28,20.11
2023-07-31,20.05
2023-08-01,20.3
2023-08-02,20.95
2023-08-03,21.05
2023-08-04,20.75
2023-08-07,20.6
2023-08-08,21.0
2023-08-09,20.73
2023-08-10,20.7
2023-08-11,20.75
2023-08-14,20.5
2023-08-15,20.8
2023-08-16,21.0
2023-08-17,21.4
2023-08-18,21.6
2023-08-21,21.15
2023-08-22,21.0
2023-08-23,20.96
2023-08-24,21.1
2023-08-25,21.1
2023-08-28,20.65
2023-08-29,20.42
2023-08-30,20.25
2023-08-31,20.05
2023-09-01,19.9
2023-09-05,19.95
2023-09-06,20.05
2023-09-07,20.15
2023-09-08,19.85
2023-09-11,19.4
2023-09-12,19.27
2023-09-13,19.3
2023-09-14,19.15
2023-09-15,19.21
2023-09-18,19.35
2023-09-19,19.35
2023-09-20,19.37
2023-09-21,19.8
2023-09-22,19.85
2023-09-25,20.0
2023-09-26,20.45
2023-09-27,20.65
2023-09-28,20.3
2023-09-29,19.95
2023-10-02,20.01
2023-10-03,20.85
2023-10-04,21.16
2023-10-05,20.91
2023-10-06,20.85
2023-10-09,20.77
2023-10-10,20.25
2023-10-11,20.22
2023-10-12,20.3
2023-10-13,21.2
2023-10-16,21.1
2023-10-17,20.9
2023-10-18,21.35
2023-10-19,22.07
2023-10-20,22.25
2023-10-23,22.58
2023-10-24,21.63
2023-10-25,21.93
2023-10-26,22.31
2023-10-27,22.35
2023-10-30,22.2
2023-10-31,21.5
2023-11-01,20.9
2023-11-02,20.18
2023-11-03,19.9
2023-11-06,19.45
2023-11-07,19.2
2023-11-08,19.1
2023-11-09,19.15
2023-11-10,19.02
2023-11-13,18.82
2023-11-14,18.65
2023-11-15,18.6
2023-11-16,18.41
2023-11-17,18.25
2023-11-20,18.06
2023-11-21,18.05
2023-11-22,18.0
2023-11-24,17.95
2023-11-27,17.65
2023-11-28,17.65
2023-11-29,17.75
2023-11-30,17.77
2023-12-01,17.6
2023-12-04,17.85
2023-12-05,17.8
2023-12-06,17.72
2023-12-07,17.8
2023-12-08,17.67
2023-12-11,17.3
2023-12-12,17.0
2023-12-13,16.85
2023-12-14,16.72
2023-12-15,16.8
2023-12-18,17.0
2023-12-19,17.35
2023-12-20,18.1
2023-12-21,17.97
2023-12-22,17.97
2023-12-26,17.67
2023-12-27,17.35
2023-12-28,17.02
2023-12-29,17.1
2024-01-02,17.3
2024-01-03,17.38
2024-01-04,17.25
2024-01-05,17.4
2024-01-08,16.86
2024-01-09,16.55
2024-01-10,16.25
2024-01-11,16.34
2024-01-12,16.25
2024-01-16,16.81
2024-01-17,17.27
2024-01-18,16.96
2024-01-19,16.57
2024-01-22,16.25
2024-01-23,15.9
2024-01-24,15.88
2024-01-25,16.01
2024-01-26,16.1
2024-01-29,16.05
2024-01-30,15.95
2024-01-31,16.5
2024-02-01,16.52
2024-02-02,16.38
2024-02-05,16.5
2024-02-06,15.95
2024-02-07,15.65
2024-02-08,15.67
2024-02-09,15.62
2024-02-12,16.0
2024-02-13,17.35
2024-02-14,16.61
2024-02-15,16.2
2024-02-16,16.11
2024-02-20,16.6
2024-02-21,16.45
2024-02-22,15.95
2024-02-23,15.88
2024-02-26,15.5
2024-02-27,15.3
2024-02-28,15.35
2024-02-29,15.35
2024-03-01,15.25
2024-03-04,15.15
2024-03-05,16.0
2024-03-06,15.75
2024-03-07,15.85
2024-03-08,16.45
2024-03-11,16.4
2024-03-12,16.08
2024-03-13,15.2
2024-03-14,15.97
2024-03-15,16.25
2024-03-18,15.72
2024-03-19,15.6
2024-03-20,15.15
2024-03-21,14.65
2024-03-22,14.65
2024-03-25,14.75
2024-03-26,14.4
2024-03-27,14.45
2024-03-28,14.4
2024-04-01,14.8
2024-04-02,15.65
2024-04-03,15.4
2024-04-04,16.35
2024-04-05,16.35
2024-04-08,16.02
2024-04-09,16.0
2024-04-10,16.2
2024-04-11,16.3
2024-04-12,18.1
2024-04-15,18.7
2024-04-16,19.7
2024-04-17,18.65
