Trade Date,Jul24
2023-10-23,22.0
2023-10-24,21.95
2023-10-25,22.15
2023-10-26,22.5
2023-10-27,22.56
2023-10-30,22.35
2023-10-31,21.75
2023-11-01,21.24
2023-11-02,20.6
2023-11-03,20.25
2023-11-06,19.85
2023-11-07,19.65
2023-11-08,19.66
2023-11-09,19.7
2023-11-10,19.6
2023-11-13,19.25
2023-11-14,19.2
2023-11-15,19.2
2023-11-16,19.15
2023-11-17,18.95
2023-11-20,18.9
2023-11-21,18.86
2023-11-22,18.81
2023-11-24,18.8
2023-11-27,18.54
2023-11-28,18.5
2023-11-29,18.65
2023-11-30,18.7
2023-12-01,18.62
2023-12-04,18.8
2023-12-05,18.75
2023-12-06,18.7
2023-12-07,18.71
2023-12-08,18.56
2023-12-11,18.28
2023-12-12,17.9
2023-12-13,17.77
2023-12-14,17.65
2023-12-15,17.7
2023-12-18,17.84
2023-12-19,18.25
2023-12-20,18.9
2023-12-21,18.75
2023-12-22,18.81
2023-12-26,18.6
2023-12-27,18.4
2023-12-28,18.1
2023-12-29,18.15
2024-01-02,18.33
2024-01-03,18.4
2024-01-04,18.26
2024-01-05,18.37
2024-01-08,17.88
2024-01-09,17.75
2024-01-10,17.5
2024-01-11,17.61
2024-01-12,17.5
2024-01-16,17.87
2024-01-17,18.2
2024-01-18,17.95
2024-01-19,17.65
2024-01-22,17.3
2024-01-23,17.0
2024-01-24,17.0
2024-01-25,17.11
2024-01-26,17.15
2024-01-29,17.17
2024-01-30,17.1
2024-01-31,17.55
2024-02-01,17.55
2024-02-02,17.42
2024-02-05,17.58
2024-02-06,17.2
2024-02-07,17.05
2024-02-08,17.12
2024-02-09,17.1
2024-02-12,17.4
2024-02-13,18.28
2024-02-14,17.66
2024-02-15,17.6
2024-02-16,17.57
2024-02-20,17.83
2024-02-21,17.65
2024-02-22,17.35
2024-02-23,17.28
2024-02-26,17.07
2024-02-27,16.93
2024-02-28,17.02
2024-02-29,17.0
2024-03-01,16.94
2024-03-04,17.05
2024-03-05,17.58
2024-03-06,17.42
2024-03-07,17.5
2024-03-08,17.97
2024-03-11,17.85
2024-03-12,17.76
2024-03-13,17.35
2024-03-14,17.88
2024-03-15,18.12
2024-03-18,17.74
2024-03-19,17.65
2024-03-20,17.4
2024-03-21,17.15
2024-03-22,17.15
2024-03-25,17.3
2024-03-26,17.0
2024-03-27,17.0
2024-03-28,16.95
2024-04-01,17.1
2024-04-02,17.5
2024-04-03,17.4
2024-04-04,17.63
2024-04-05,17.7
2024-04-08,17.65
2024-04-09,17.5
2024-04-10,17.7
2024-04-11,17.83
2024-04-12,18.42
2024-04-15,18.77
2024-04-16,19.1
2024-04-17,18.58
2024-04-18,18.25
2024-04-19,19.6
2024-04-22,18.25
2024-04-23,17.26
2024-04-24,17.0
2024-04-25,17.3
2024-04-26,16.6
2024-04-29,16.58
2024-04-30,16.65
2024-05-01,16.86
2024-05-02,16.77
2024-05-03,16.22
2024-05-06,15.85
2024-05-07,15.55
2024-05-08,15.5
2024-05-09,15.42
2024-05-10,15.3
2024-05-13,15.27
2024-05-14,15.3
2024-05-15,15.0
2024-05-16,14.65
2024-05-17,14.65
2024-05-20,14.45
2024-05-21,14.48
2024-05-22,14.65
2024-05-23,14.8
2024-05-24,14.75
2024-05-28,14.75
2024-05-29,15.15
2024-05-30,15.25
2024-05-31,15.2
2024-06-03,14.95
2024-06-04,14.95
2024-06-05,14.7
2024-06-06,14.5
2024-06-07,14.57
2024-06-10,14.6
2024-06-11,14.55
2024-06-12,14.3
2024-06-13,14.35
2024-06-14,14.7
2024-06-17,14.6
2024-06-18,14.45
2024-06-20,14.9
2024-06-21,15.07
2024-06-24,14.85
2024-06-25,14.5
2024-06-26,14.21
2024-06-27,14.05
2024-06-28,14.1
2024-07-01,14.01
2024-07-02,13.63
2024-07-03,13.3
2024-07-05,13.45
2024-07-08,13.35
2024-07-09,13.15
2024-07-10,13.05
2024-07-11,13.4
2024-07-12,13.15
2024-07-15,13.2
2024-07-16,13.45
2024-07-17,13.9
