Trade Date,Sep24
2023-12-26,17.5
2023-12-27,19.0
2023-12-28,18.45
2023-12-29,18.35
2024-01-02,18.55
2024-01-03,18.7
2024-01-04,18.7
2024-01-05,18.7
2024-01-08,18.1
2024-01-09,18.1
2024-01-10,17.8
2024-01-11,17.95
2024-01-12,17.7
2024-01-16,18.15
2024-01-17,18.65
2024-01-18,18.4
2024-01-19,18.05
2024-01-22,17.8
2024-01-23,17.75
2024-01-24,17.5
2024-01-25,17.56
2024-01-26,17.66
2024-01-29,17.6
2024-01-30,17.55
2024-01-31,17.9
2024-02-01,17.95
2024-02-02,17.9
2024-02-05,18.0
2024-02-06,17.64
2024-02-07,17.6
2024-02-08,17.7
2024-02-09,17.7
2024-02-12,17.91
2024-02-13,18.75
2024-02-14,18.2
2024-02-15,18.22
2024-02-16,18.22
2024-02-20,18.5
2024-02-21,18.35
2024-02-22,18.05
2024-02-23,17.95
2024-02-26,17.8
2024-02-27,17.62
2024-02-28,17.8
2024-02-29,17.8
2024-03-01,17.77
2024-03-04,17.94
2024-03-05,18.3
2024-03-06,18.2
2024-03-07,18.27
2024-03-08,18.7
2024-03-11,18.61
2024-03-12,18.55
2024-03-13,18.32
2024-03-14,18.79
2024-03-15,19.0
2024-03-18,18.6
2024-03-19,18.57
2024-03-20,18.35
2024-03-21,18.11
2024-03-22,18.17
2024-03-25,18.21
2024-03-26,18.05
2024-03-27,18.05
2024-03-28,18.05
2024-04-01,18.15
2024-04-02,18.5
2024-04-03,18.35
2024-04-04,18.5
2024-04-05,18.56
2024-04-08,18.55
2024-04-09,18.4
2024-04-10,18.57
2024-04-11,18.7
2024-04-12,19.1
2024-04-15,19.26
2024-04-16,19.51
2024-04-17,19.03
2024-04-18,18.83
2024-04-19,19.76
2024-04-22,18.75
2024-04-23,17.9
2024-04-24,17.83
2024-04-25,18.0
2024-04-26,17.55
2024-04-29,17.51
2024-04-30,17.45
2024-05-01,17.65
2024-05-02,17.6
2024-05-03,17.15
2024-05-06,16.9
2024-05-07,16.6
2024-05-08,16.6
2024-05-09,16.5
2024-05-10,16.32
2024-05-13,16.28
2024-05-14,16.3
2024-05-15,16.05
2024-05-16,15.81
2024-05-17,15.81
2024-05-20,15.55
2024-05-21,15.56
2024-05-22,15.7
2024-05-23,15.8
2024-05-24,15.8
2024-05-28,15.75
2024-05-29,16.01
2024-05-30,16.07
2024-05-31,16.05
2024-06-03,15.87
2024-06-04,15.92
2024-06-05,15.81
2024-06-06,15.73
2024-06-07,15.81
2024-06-10,15.81
2024-06-11,15.8
2024-06-12,15.65
2024-06-13,15.73
2024-06-14,16.05
2024-06-17,16.2
2024-06-18,16.1
2024-06-20,16.5
2024-06-21,16.68
2024-06-24,16.32
2024-06-25,16.17
2024-06-26,15.95
2024-06-27,15.85
2024-06-28,15.85
2024-07-01,15.85
2024-07-02,15.5
2024-07-03,15.4
2024-07-05,15.45
2024-07-08,15.35
2024-07-09,15.25
2024-07-10,15.25
2024-07-11,15.35
2024-07-12,15.3
2024-07-15,15.35
2024-07-16,15.46
2024-07-17,16.05
2024-07-18,16.3
2024-07-19,16.7
2024-07-22,16.8
2024-07-23,16.05
2024-07-24,17.55
2024-07-25,18.02
2024-07-26,17.55
2024-07-29,16.8
2024-07-30,17.35
2024-07-31,16.98
2024-08-01,18.35
2024-08-02,22.2
2024-08-05,35.0
2024-08-06,29.0
2024-08-07,24.45
2024-08-08,24.45
2024-08-09,22.1
2024-08-12,19.35
2024-08-13,19.2
2024-08-14,17.6
2024-08-15,16.55
2024-08-16,16.25
2024-08-19,16.1
2024-08-20,16.15
2024-08-21,16.65
2024-08-22,17.1
2024-08-23,16.95
2024-08-26,16.3
2024-08-27,16.3
2024-08-28,16.85
2024-08-29,17.05
2024-08-30,16.0
2024-09-03,19.8
2024-09-04,20.35
2024-09-05,19.75
2024-09-06,21.55
2024-09-09,21.05
2024-09-10,19.8
2024-09-11,20.35
2024-09-12,18.1
2024-09-13,17.15
2024-09-16,17.5
2024-09-17,17.95
2024-09-18,17.9
