Trade Date,Dec24
2024-03-25,17.45
2024-03-26,19.3
2024-03-27,19.23
2024-03-28,19.26
2024-04-01,19.1
2024-04-02,19.4
2024-04-03,19.2
2024-04-04,19.31
2024-04-05,19.45
2024-04-08,19.25
2024-04-09,19.1
2024-04-10,19.35
2024-04-11,19.35
2024-04-12,19.6
2024-04-15,19.5
2024-04-16,19.2
2024-04-17,19.05
2024-04-18,18.97
2024-04-19,19.35
2024-04-22,18.9
2024-04-23,18.25
2024-04-24,18.2
2024-04-25,18.38
2024-04-26,18.2
2024-04-29,18.15
2024-04-30,18.05
2024-05-01,18.2
2024-05-02,18.11
2024-05-03,17.78
2024-05-06,17.55
2024-05-07,17.45
2024-05-08,17.4
2024-05-09,17.35
2024-05-10,17.37
2024-05-13,17.45
2024-05-14,17.4
2024-05-15,17.15
2024-05-16,16.9
2024-05-17,17.0
2024-05-20,16.8
2024-05-21,16.8
2024-05-22,17.0
2024-05-23,17.1
2024-05-24,17.13
2024-05-28,17.1
2024-05-29,17.27
2024-05-30,17.26
2024-05-31,17.15
2024-06-03,17.02
2024-06-04,17.13
2024-06-05,17.1
2024-06-06,17.2
2024-06-07,17.24
2024-06-10,17.2
2024-06-11,17.18
2024-06-12,17.17
2024-06-13,17.25
2024-06-14,17.45
2024-06-17,17.5
2024-06-18,17.45
2024-06-20,17.9
2024-06-21,18.09
2024-06-24,17.6
2024-06-25,17.55
2024-06-26,17.45
2024-06-27,17.4
2024-06-28,17.4
2024-07-01,17.37
2024-07-02,17.12
2024-07-03,17.05
2024-07-05,17.07
2024-07-08,17.07
2024-07-09,16.95
2024-07-10,16.94
2024-07-11,17.09
2024-07-12,17.02
2024-07-15,17.1
2024-07-16,17.1
2024-07-17,17.53
2024-07-18,17.65
2024-07-19,17.77
2024-07-22,17.82
2024-07-23,17.35
2024-07-24,18.05
2024-07-25,18.3
2024-07-26,18.15
2024-07-29,17.76
2024-07-30,18.08
2024-07-31,17.67
2024-08-01,18.34
2024-08-02,20.15
2024-08-05,26.55
2024-08-06,22.69
2024-08-07,21.57
2024-08-08,21.5
2024-08-09,20.2
2024-08-12,19.0
2024-08-13,18.8
2024-08-14,17.76
2024-08-15,17.45
2024-08-16,17.35
2024-08-19,17.5
2024-08-20,17.75
2024-08-21,17.97
2024-08-22,18.02
2024-08-23,17.9
2024-08-26,17.7
2024-08-27,17.6
2024-08-28,17.78
2024-08-29,17.73
2024-08-30,17.45
2024-09-03,18.95
2024-09-04,19.92
2024-09-05,19.3
2024-09-06,19.87
2024-09-09,19.7
2024-09-10,19.47
2024-09-11,19.65
2024-09-12,18.45
2024-09-13,18.2
2024-09-16,18.47
2024-09-17,18.62
2024-09-18,18.55
2024-09-19,18.25
2024-09-20,17.81
2024-09-23,17.88
2024-09-24,17.97
2024-09-25,17.8
2024-09-26,17.85
2024-09-27,18.4
2024-09-30,18.6
2024-10-01,19.17
2024-10-02,19.32
2024-10-03,19.49
2024-10-04,19.48
2024-10-07,20.05
2024-10-08,20.16
2024-10-09,19.5
2024-10-10,19.32
2024-10-11,19.3
2024-10-14,18.95
2024-10-15,18.67
2024-10-16,18.75
2024-10-17,18.7
2024-10-18,18.32
2024-10-21,18.35
2024-10-22,18.32
2024-10-23,18.95
2024-10-24,19.0
2024-10-25,19.06
2024-10-28,18.97
2024-10-29,18.42
2024-10-30,18.65
2024-10-31,19.8
2024-11-01,19.8
2024-11-04,19.5
2024-11-05,18.82
2024-11-06,17.94
2024-11-07,16.35
2024-11-08,16.05
2024-11-11,15.75
2024-11-12,16.15
2024-11-13,16.05
2024-11-14,15.6
2024-11-15,17.1
2024-11-18,16.5
2024-11-19,17.1
2024-11-20,17.6
2024-11-21,17.5
2024-11-22,17.16
2024-11-25,16.3
2024-11-26,15.85
2024-11-27,15.75
2024-11-29,15.2
2024-12-02,14.95
2024-12-03,15.05
2024-12-04,14.7
2024-12-05,14.85
2024-12-06,14.75
2024-12-09,14.9
2024-12-10,14.8
2024-12-11,14.75
2024-12-12,14.65
2024-12-13,14.8
2024-12-16,14.75
2024-12-17,15.95
2024-12-18,15.8
