0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128
0.05,-0.05,0.17,0.32,0.08,0.01,-0.01,0.34,0.02,1.43,0.62,0.22,0.37,0.89,0.3,0.54,-0.07,0.89,0.42,0.13,-1.08,1.01,0.14,0.52,-0.83,1.22,1.25,0.71,0.58,0.68,0.87,0.2,0.18,0.38,0.73,0.38,0.14,-0.45,0.01,0.7,0.2,-0.11,0.15,0.02,0.2,-0.02,-0.73,-0.05,0.27,1.13,0.17,1.06,0.03,0.19,0.97,-0.23,0.84,1.35,0.43,0.31,-0.2,0.36,1.0,0.2,0.46,0.2,0.6,0.15,0.12,0.11,0.13,-0.09,0.4,0.4,13.55,-0.44,0.22,2.23,0.08,0.65,0.59,-0.23,0.86,0.89,1.15,1.35,-0.19,-0.05,-1.42,0.41,1.99,1.78,0.3,0.69,1.13,0.45,-0.35,1.45,-0.55,0.25,3.05,-0.43,0.7,0.45,0.58,0.15,0.08,0.87,0.85,0.43,0.96,0.33,0.04,0.47,0.85,0.0,0.67,0.72,0.55,0.92,0.13,1.36,0.39,0.5,0.7,0.25,0.14,0.02,0.0
0.03,0.11,-0.92,0.15,0.18,-0.16,0.32,0.28,0.08,0.29,0.16,-2.41,0.96,-0.14,0.17,0.04,0.14,-0.21,-0.15,0.3,-0.21,0.13,0.6,1.26,1.35,1.08,0.0,0.37,0.21,-0.13,0.38,-0.18,-0.34,0.13,0.28,0.3,0.16,-0.15,-0.32,0.3,-0.1,0.04,0.2,1.1,-0.05,-0.32,-0.07,-0.2,-0.81,0.74,0.75,0.45,-0.9,-0.37,0.12,0.35,-0.09,0.7,-1.86,-0.91,0.5,0.46,0.0,0.45,0.71,0.2,0.2,0.91,0.71,1.27,0.13,0.05,-0.1,-0.23,-1.73,1.08,0.36,1.72,0.5,0.08,0.32,-0.42,-0.2,-0.07,0.7,0.6,0.79,-0.23,-0.6,-0.1,1.32,-0.76,0.48,0.53,0.18,1.5,-1.0,1.36,-0.3,0.68,0.71,0.28,0.23,0.58,-0.83,-0.1,-1.14,-0.37,-0.2,0.25,1.34,0.32,0.43,0.26,0.11,-0.31,-0.14,0.19,0.03,0.3,-0.31,-2.6,-0.38,-0.63,-0.17,0.4,-0.14,0.1,-0.3
-0.25,-0.15,-0.53,-0.76,0.07,0.02,0.1,-0.45,-0.2,2.2,-0.13,-0.64,-0.16,0.95,0.2,-0.53,-0.02,-0.94,0.18,-0.06,0.79,0.06,-0.68,-0.68,-1.6,0.27,0.44,-0.17,0.0,-1.75,0.31,0.19,0.89,0.09,0.74,0.1,0.38,0.21,0.07,0.2,0.32,0.24,0.2,1.2,0.35,0.09,0.05,0.15,-0.18,2.53,-2.15,0.62,0.27,-0.09,0.26,0.55,-0.07,1.22,0.24,-1.4,-0.18,0.33,0.2,0.3,-0.23,0.35,0.45,1.56,-0.1,0.9,0.23,0.66,0.0,0.39,-2.52,-0.98,1.16,0.35,0.7,0.38,1.83,-0.35,1.61,0.65,-1.1,0.43,1.09,-0.6,0.63,-0.13,-3.41,-0.32,-0.02,0.18,0.72,-1.69,-0.43,-0.47,1.31,-0.28,0.89,-1.88,0.61,-0.16,0.57,0.15,0.73,0.07,0.62,0.33,-0.47,0.35,0.04,0.04,0.15,0.28,0.02,0.74,0.29,0.4,0.25,-0.12,0.44,-0.2,-0.0,-0.2,0.0,-0.0,0.0
0.47,0.34,-0.25,-0.7,-0.35,-0.29,-0.65,0.43,0.18,-0.42,0.01,-0.3,0.22,0.08,0.01,0.49,0.25,-0.34,0.34,-0.03,1.1,0.54,-0.97,-2.68,0.01,-1.02,0.43,-0.11,-0.27,-1.08,0.17,0.25,0.8,0.1,0.36,0.42,-0.0,0.32,-0.08,-0.05,0.13,0.25,0.3,-0.51,0.15,0.05,0.11,0.07,-0.02,-2.75,0.21,0.55,0.08,-0.16,0.29,0.59,0.41,0.73,0.35,-0.39,0.48,0.17,0.27,0.42,0.56,0.2,0.32,1.27,0.84,1.39,0.22,0.56,0.25,0.12,-3.97,0.6,1.6,-0.5,0.34,-0.29,-0.29,1.06,0.18,-0.72,0.61,1.01,-0.23,0.38,2.32,0.54,-0.5,0.35,-0.56,0.93,0.75,-0.63,-0.62,-2.83,0.64,0.53,0.78,-1.11,0.76,0.23,-0.87,0.3,1.07,0.23,-0.07,-0.2,0.65,0.9,0.25,0.05,0.16,0.35,-0.49,-1.02,0.02,0.07,-0.09,0.2,-0.23,-1.03,0.1,0.1,0.2,0.5,0.57
-0.02,0.0,0.38,0.45,0.05,-0.28,-0.01,0.0,-0.11,-1.03,0.04,-0.55,-0.73,0.38,0.15,0.19,0.14,0.36,0.08,0.43,-0.6,0.22,-0.6,-0.18,-0.37,0.23,-0.3,0.42,-0.1,-0.46,0.02,-0.03,-0.16,-0.72,3.57,-0.27,0.04,0.13,0.07,-0.1,-0.29,-0.22,0.45,-1.83,-0.15,0.05,-0.47,-0.07,-0.15,-3.88,-0.2,0.78,0.49,-0.13,0.11,0.76,0.11,-2.28,0.0,0.54,-0.17,-0.65,0.33,0.36,0.85,0.1,0.63,-0.99,0.18,0.26,-0.05,0.27,0.06,0.07,-6.32,-0.23,-0.05,-4.85,0.24,0.72,1.83,-1.13,-0.95,-0.34,0.41,0.24,0.3,0.2,-0.07,-0.09,0.0,0.0,0.29,0.35,0.22,0.6,0.8,-1.36,1.45,0.64,0.44,-0.56,0.19,0.28,0.26,-0.24,0.12,-0.28,0.51,0.07,0.59,-0.03,0.03,0.19,0.79,0.11,0.79,0.06,-0.23,-0.17,0.19,0.02,-0.32,0.01,0.21,0.22,-0.25,0.6,0.88
-0.12,0.61,-0.14,-0.24,0.25,0.1,-0.19,0.3,-0.4,-0.15,-0.12,-0.98,-0.46,0.21,-0.18,-0.11,0.25,0.45,0.15,-0.48,0.9,-0.07,0.17,-0.59,0.83,-0.33,-0.01,0.5,-0.18,-0.14,0.01,-0.52,0.44,-0.08,-3.41,0.02,-0.07,-0.04,0.0,-0.98,0.04,-0.19,0.27,-0.49,-0.13,-0.04,0.04,-0.25,-0.1,3.54,-0.06,-0.13,0.06,-0.1,-0.27,-1.05,0.12,-2.39,0.01,0.19,0.41,-0.17,0.76,-0.06,0.33,0.0,0.2,-0.07,0.41,0.1,0.09,0.37,-0.02,0.57,0.54,-0.27,-1.65,-0.4,1.35,0.32,-0.34,-0.22,0.6,0.29,0.13,0.14,1.07,0.26,-2.26,0.04,-0.05,0.15,-0.39,0.23,-0.41,0.07,1.15,0.63,-0.86,-0.41,0.58,0.3,-0.38,0.02,0.12,0.41,-0.04,0.81,-0.02,0.1,-0.92,-0.29,-0.06,-0.06,0.0,0.7,-0.1,-0.25,0.19,0.25,0.12,0.1,0.48,0.0,-0.01,0.06,0.1,0.44,-0.32
0.14,0.49,-0.26,-0.34,0.35,-0.12,-0.05,1.06,0.09,-1.3,0.17,-0.57,-0.42,-0.02,-0.13,0.13,-0.19,-0.15,1.25,-0.1,0.4,0.17,0.08,-0.41,-0.15,-0.93,-0.14,0.13,0.07,0.04,-0.11,0.08,-1.51,-0.67,-0.57,0.01,-0.15,0.24,-0.18,-0.52,0.25,0.16,-0.42,-0.32,0.58,0.04,0.08,0.24,-0.02,-2.76,-0.39,-0.02,-0.09,0.3,-0.04,-0.05,0.08,0.17,-0.24,0.36,0.65,0.08,0.57,-0.17,0.11,0.04,-0.15,-0.09,-0.16,-1.15,0.06,-0.2,0.01,-0.23,2.7,2.55,-0.67,-0.35,-0.16,-0.18,1.61,-0.36,-1.22,0.35,-0.5,0.33,0.53,0.04,-0.86,0.06,0.5,0.51,-0.45,0.02,-0.4,-0.5,-1.27,0.04,-0.46,-0.51,-0.43,0.01,-0.34,-0.05,-1.24,0.04,-0.11,-0.13,-0.28,-0.15,1.53,-0.08,-0.31,-0.13,0.15,-0.34,-0.05,0.91,-0.19,0.09,0.02,0.25,0.27,-0.09,-0.02,-0.05,0.1,-0.09,0.87
0.05,0.35,0.08,-0.27,-0.1,0.07,-0.05,-0.56,-0.05,-1.4,0.09,-0.23,0.12,0.21,0.03,0.07,0.53,0.0,0.79,0.23,-1.11,0.26,-0.43,0.58,-0.67,-0.38,-0.14,0.38,0.48,0.29,0.56,0.04,-0.37,0.18,1.78,0.24,0.14,0.07,0.0,-0.35,0.1,0.08,0.4,0.2,0.15,-0.02,0.04,0.06,0.12,-4.55,0.34,0.34,0.73,0.3,0.61,-0.3,0.1,-0.05,-0.82,-0.35,1.11,-0.04,-0.28,0.11,-0.42,-0.04,0.05,-0.8,0.3,0.74,0.26,-0.47,0.25,-0.16,-7.1,1.19,-0.03,-0.15,0.24,0.56,-1.24,-0.3,1.57,0.06,0.86,0.95,0.89,0.18,-0.18,0.33,0.95,-0.06,-0.05,-0.26,-0.19,0.52,0.12,0.9,-1.03,0.05,-0.04,0.29,0.13,0.52,-0.04,-0.61,-0.1,-0.18,0.16,0.08,-1.08,0.2,0.57,-0.2,0.05,-0.09,0.35,-0.14,0.15,0.03,-0.09,0.02,-0.01,0.26,-0.06,-0.08,0.0,0.85,0.26
-0.08,0.09,0.67,0.05,0.1,-0.01,0.15,0.13,-0.01,-0.16,0.03,0.25,0.11,-0.18,-0.25,0.16,0.13,0.01,-0.06,-0.27,2.62,0.72,0.04,0.37,-1.28,0.65,0.19,0.15,0.1,0.15,0.29,0.12,-1.55,-0.01,-0.01,-0.04,-0.1,0.12,-0.03,-0.05,0.15,-0.28,-0.05,0.06,0.0,0.02,0.5,0.18,-0.05,-1.24,0.46,-0.64,0.36,-0.05,0.21,-0.79,-0.02,-0.6,-0.31,0.29,0.32,0.26,-0.48,0.16,1.15,0.08,-0.32,0.17,0.58,0.36,-0.04,0.32,1.27,0.66,-3.85,0.07,1.38,0.18,0.46,-0.03,-3.85,1.2,0.45,0.2,0.62,0.6,0.71,0.19,0.72,0.24,0.1,0.12,0.17,0.59,-0.35,0.35,-0.26,-0.16,1.03,1.03,-0.83,-0.3,0.05,0.23,0.72,-0.66,0.41,-0.24,-0.25,-0.1,-1.55,0.18,0.7,0.1,0.58,-0.0,0.18,-0.04,0.27,-0.07,-0.04,0.12,-0.09,0.03,0.07,0.35,-0.1,1.36,-0.96
0.06,0.01,0.19,0.15,-0.11,-0.14,-0.03,-0.13,0.12,-0.15,0.08,0.01,0.28,0.65,0.33,0.36,0.08,-0.17,-0.1,-0.16,0.2,-0.01,-0.06,-1.0,-0.48,-0.63,0.33,-0.22,0.26,0.23,0.45,0.26,0.04,0.24,-0.52,-0.14,0.36,-0.2,-0.03,-0.01,-0.04,0.03,-0.05,0.29,0.37,0.1,-0.1,0.22,0.25,-0.02,0.98,1.32,-0.75,-0.2,0.1,0.24,-0.13,-0.94,0.81,-1.39,0.71,0.7,-0.22,0.1,-1.02,0.24,0.12,1.11,0.68,0.08,0.15,0.3,-1.04,0.58,-1.32,1.24,0.1,0.07,0.2,0.29,1.33,0.62,2.55,-0.26,0.55,1.58,-1.65,0.48,-0.25,0.02,-0.73,0.13,0.19,1.12,0.24,0.28,-0.76,-1.04,-0.05,-1.09,-1.25,0.63,0.4,0.18,0.66,0.03,-0.26,-0.11,0.08,0.17,-0.75,0.02,-0.92,0.17,-1.19,-0.3,-0.23,0.36,0.21,-0.02,-0.06,0.01,-0.06,-0.57,0.11,0.2,0.23,-0.28,-0.11
0.02,-0.45,-0.74,-0.0,0.13,0.1,0.13,-0.12,0.03,-0.59,0.25,0.44,-0.41,0.64,0.01,-0.24,-0.52,0.08,0.04,0.12,-1.59,-0.02,-0.25,-0.16,0.23,-0.29,0.73,0.07,-0.08,-0.19,-0.02,0.08,0.18,0.17,0.08,0.03,0.18,0.16,-0.01,0.31,-0.01,-0.03,-0.05,-0.08,0.36,0.1,0.15,-0.2,0.0,0.27,-0.39,-0.37,0.25,0.22,0.35,-0.12,-0.14,0.19,0.26,0.35,-0.32,0.1,0.58,-0.1,-0.03,0.37,0.24,1.12,0.19,-1.0,-0.02,0.3,0.69,-0.04,0.32,3.37,0.67,0.81,-0.2,-0.02,-0.18,0.07,-0.3,-0.06,-0.05,2.42,-0.69,0.1,0.7,0.06,0.04,0.6,-0.01,-0.02,0.02,1.05,-0.01,0.75,-0.09,-0.24,1.05,0.04,0.73,0.29,-0.13,0.31,-0.37,-0.14,-0.37,0.26,0.05,0.2,0.16,0.11,0.07,-0.63,-0.3,0.04,0.51,0.07,-0.15,-0.15,0.05,0.07,0.05,0.0,0.03,2.04,0.37
0.15,-0.6,0.1,0.15,-0.02,-0.06,0.01,0.14,0.15,0.32,0.02,-0.02,-0.15,-0.04,-0.36,0.1,-0.21,-0.04,0.46,-0.14,0.05,0.34,0.35,0.05,-1.21,0.35,-0.01,-0.18,0.0,0.05,0.02,-0.3,0.51,-0.15,-0.77,0.91,-0.1,-0.06,0.13,-0.61,-0.02,-0.1,0.08,-0.08,-0.69,-0.07,0.17,-0.08,0.0,-0.46,0.67,0.4,-0.34,-0.02,-0.13,0.17,-0.07,-0.1,-0.08,-1.71,0.26,0.32,-0.76,-0.1,-1.35,0.16,0.19,-0.93,-0.47,-0.28,0.0,-0.95,-0.08,0.37,0.57,-1.57,2.18,0.34,-0.21,-0.07,0.93,-0.25,0.5,-0.21,-1.66,-0.04,0.98,-0.15,-1.0,-0.1,-0.5,-0.1,0.72,-0.0,0.35,1.67,0.28,1.49,-0.38,0.46,1.05,0.17,-0.18,-0.37,-0.38,0.86,-0.08,-0.33,-0.03,-0.23,-0.25,0.03,-1.22,0.16,-0.26,-0.08,-0.15,-0.57,0.39,0.1,-0.2,0.05,-0.37,-0.37,-0.05,0.27,0.09,-0.32,-1.88
